# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 97
# Emin, Emax in file for selected band(s):   -109.5415170    238.6456840
# Nbands, Nspin, Nk   =     97     2    46
# E_F                 =    -6.5392 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
   -109.841517      0.000000      0.000000      0.000000
   -108.088817      0.000000      0.000000      0.000000
   -106.336118      0.000000      0.000000      0.000000
   -104.583418      0.000000      0.000000      0.000000
   -102.830719      0.544613      0.544583      1.089196
   -101.078019      0.000000      0.000000      0.000000
    -99.325320      0.000000      0.000000      0.000000
    -97.572620      0.000000      0.000000      0.000000
    -95.819921      0.000000      0.000000      0.000000
    -94.067221      0.000000      0.000000      0.000000
    -92.314522      0.000000      0.000000      0.000000
    -90.561822      0.000000      0.000000      0.000000
    -88.809123      0.000000      0.000000      0.000000
    -87.056423      0.000000      0.000000      0.000000
    -85.303724      0.000000      0.000000      0.000000
    -83.551024      0.000000      0.000000      0.000000
    -81.798325      0.000000      0.000000      0.000000
    -80.045625      0.000000      0.000000      0.000000
    -78.292926      0.000000      0.000000      0.000000
    -76.540226      0.000000      0.000000      0.000000
    -74.787527      0.000000      0.000000      0.000000
    -73.034827      0.000000      0.000000      0.000000
    -71.282128      0.000000      0.000000      0.000000
    -69.529428      0.000000      0.000000      0.000000
    -67.776729      0.000000      0.000000      0.000000
    -66.024029      0.000000      0.000000      0.000000
    -64.271330      0.000000      0.000000      0.000000
    -62.518630      0.000000      0.000000      0.000000
    -60.765931      0.000000      0.000000      0.000000
    -59.013231      0.000000      0.000000      0.000000
    -57.260532      0.000000      0.000000      0.000000
    -55.507832      0.000000      0.000000      0.000000
    -53.755133      0.000000      0.000000      0.000000
    -52.002433      0.000000      0.000000      0.000000
    -50.249734      0.000000      0.000000      0.000000
    -48.497034      0.000000      0.000000      0.000000
    -46.744335      0.000000      0.000000      0.000000
    -44.991635      0.000000      0.000000      0.000000
    -43.238936      0.000000      0.000000      0.000000
    -41.486236      0.000000      0.000000      0.000000
    -39.733537      0.000000      0.000000      0.000000
    -37.980837      0.000000      0.000000      0.000000
    -36.228138      0.000000      0.000000      0.000000
    -34.475438      0.000000      0.000000      0.000000
    -32.722739      0.000000      0.000000      0.000000
    -30.970039      0.000000      0.000000      0.000000
    -29.217340      0.000000      0.000000      0.000000
    -27.464640      0.000000      0.000000      0.000000
    -25.711941      0.000000      0.000000      0.000000
    -23.959241      0.000000      0.000000      0.000000
    -22.206542      0.000000      0.000000      0.000000
    -20.453842      0.000000      0.000000      0.000000
    -18.701143      0.000000      0.000000      0.000000
    -16.948443      0.000000      0.000000      0.000000
    -15.195744     11.794144     11.794144     23.588288
    -13.443044      0.000000      0.000000      0.000000
    -11.690345      0.091995      0.091995      0.183989
     -9.937645      0.000000      0.000000      0.000000
     -8.184946      0.000000      0.000000      0.000000
     -6.432246      0.233458      0.233458      0.466917
     -4.679547      0.360977      0.360976      0.721953
     -2.926847      1.981328      1.981333      3.962660
     -1.174148      5.719417      5.719417     11.438834
      0.578552      0.822276      0.822272      1.644548
      2.331251      0.270709      0.270709      0.541419
      4.083951      0.215623      0.215624      0.431247
      5.836650      0.946022      0.946022      1.892045
      7.589350      0.970672      0.970672      1.941344
      9.342049      0.569981      0.569981      1.139962
     11.094749      0.469419      0.469419      0.938838
     12.847448      0.154764      0.154764      0.309527
     14.600148      0.004944      0.004944      0.009888
     16.352847      1.046303      1.046302      2.092605
     18.105547      0.327402      0.327401      0.654803
     19.858246      0.629833      0.629833      1.259667
     21.610946      0.109111      0.109112      0.218223
     23.363645      0.996092      0.996091      1.992183
     25.116345      1.481065      1.481065      2.962129
     26.869044      0.832524      0.832524      1.665049
     28.621744      1.325157      1.325157      2.650314
     30.374443      0.652128      0.652129      1.304257
     32.127143      0.026400      0.026400      0.052799
     33.879842      2.689958      2.689959      5.379917
     35.632542      0.602604      0.602604      1.205208
     37.385241      0.371018      0.371017      0.742035
     39.137941      0.019731      0.019731      0.039462
     40.890640      0.010205      0.010205      0.020410
     42.643340      0.150515      0.150515      0.301029
     44.396039      0.599308      0.599308      1.198615
     46.148739      0.578645      0.578643      1.157288
     47.901438      0.822241      0.822240      1.644481
     49.654138      0.088433      0.088433      0.176866
     51.406837      0.138872      0.138872      0.277744
     53.159537      0.148687      0.148687      0.297374
     54.912236      0.424402      0.424401      0.848803
     56.664936      0.827914      0.827914      1.655828
     58.417635      0.008012      0.008012      0.016024
     60.170335      1.521209      1.521210      3.042419
     61.923034      0.000013      0.000013      0.000027
     63.675734      0.002037      0.002037      0.004073
     65.428433      1.978489      1.978490      3.956979
     67.181133      0.121193      0.121194      0.242387
     68.933832      0.107356      0.107356      0.214712
     70.686532      0.001908      0.001908      0.003816
     72.439231      0.302497      0.302497      0.604994
     74.191931      0.000000      0.000000      0.000000
     75.944630      0.657307      0.657306      1.314613
     77.697330      0.544233      0.544234      1.088467
     79.450029      0.737907      0.737907      1.475814
     81.202729      1.106216      1.106215      2.212431
     82.955428      0.171113      0.171113      0.342226
     84.708128      0.051462      0.051461      0.102923
     86.460827      1.396662      1.396662      2.793324
     88.213527      0.000290      0.000290      0.000580
     89.966226      1.124859      1.124861      2.249720
     91.718926      0.769864      0.769863      1.539727
     93.471625      0.603950      0.603951      1.207901
     95.224325      1.184529      1.184528      2.369057
     96.977024      1.141651      1.141650      2.283301
     98.729724      0.118470      0.118470      0.236941
    100.482423      0.042269      0.042269      0.084539
    102.235123      0.098804      0.098805      0.197609
    103.987822      0.933684      0.933684      1.867368
    105.740522      1.070779      1.070779      2.141558
    107.493221      0.008075      0.008075      0.016150
    109.245921      0.292206      0.292206      0.584411
    110.998620      0.005353      0.005353      0.010707
    112.751320      0.028129      0.028130      0.056259
    114.504019      0.219500      0.219500      0.439001
    116.256719      0.060040      0.060040      0.120080
    118.009418      0.001851      0.001851      0.003702
    119.762118      0.592323      0.592323      1.184646
    121.514817      0.228760      0.228760      0.457519
    123.267517      0.000000      0.000000      0.000000
    125.020216      0.000000      0.000000      0.000000
    126.772916      0.000077      0.000077      0.000154
    128.525615      0.366678      0.366678      0.733355
    130.278315      0.000814      0.000814      0.001627
    132.031014      0.162663      0.162663      0.325326
    133.783714      0.002071      0.002071      0.004143
    135.536413      0.000000      0.000000      0.000000
    137.289113      0.392885      0.392885      0.785770
    139.041812      0.000000      0.000000      0.000000
    140.794512      0.000030      0.000030      0.000060
    142.547211      0.000000      0.000000      0.000000
    144.299911      0.000000      0.000000      0.000000
    146.052610      0.000000      0.000000      0.000000
    147.805310      0.000320      0.000320      0.000640
    149.558009      0.079352      0.079352      0.158704
    151.310709      0.000000      0.000000      0.000000
    153.063408      0.000000      0.000000      0.000000
    154.816108      0.129694      0.129694      0.259388
    156.568807      0.000000      0.000000      0.000000
    158.321507      0.000000      0.000000      0.000000
    160.074206      0.000000      0.000000      0.000000
    161.826906      0.000000      0.000000      0.000001
    163.579605      0.622548      0.622548      1.245096
    165.332305      0.000000      0.000000      0.000000
    167.085004      0.000000      0.000000      0.000000
    168.837704      0.000000      0.000000      0.000000
    170.590403      0.000000      0.000000      0.000000
    172.343103      0.000000      0.000000      0.000000
    174.095802      0.051660      0.051662      0.103321
    175.848502      0.000000      0.000000      0.000000
    177.601201      0.000000      0.000000      0.000000
    179.353901      0.000000      0.000000      0.000000
    181.106600      0.000000      0.000000      0.000000
    182.859300      0.000000      0.000000      0.000000
    184.611999      0.000000      0.000000      0.000000
    186.364699      0.000000      0.000000      0.000000
    188.117398      0.000000      0.000000      0.000000
    189.870098      0.000000      0.000000      0.000000
    191.622797      0.000138      0.000138      0.000276
    193.375497      0.000000      0.000000      0.000000
    195.128196      0.000000      0.000000      0.000000
    196.880896      0.000133      0.000133      0.000266
    198.633595      0.000000      0.000000      0.000000
    200.386295      0.000000      0.000000      0.000000
    202.138994      0.000000      0.000000      0.000000
    203.891694      0.000000      0.000000      0.000000
    205.644393      0.000000      0.000000      0.000000
    207.397093      0.000000      0.000000      0.000000
    209.149792      0.000000      0.000000      0.000000
    210.902492      0.000000      0.000000      0.000000
    212.655191      0.000000      0.000000      0.000000
    214.407891      0.000000      0.000000      0.000000
    216.160590      0.000000      0.000000      0.000000
    217.913290      0.000000      0.000000      0.000000
    219.665989      0.000000      0.000000      0.000000
    221.418689      0.000000      0.000000      0.000000
    223.171388      0.000000      0.000000      0.000000
    224.924088      0.000000      0.000000      0.000000
    226.676787      0.000000      0.000000      0.000000
    228.429487      0.000000      0.000000      0.000000
    230.182186      0.000000      0.000000      0.000000
    231.934886      0.000000      0.000000      0.000000
    233.687585      0.000000      0.000000      0.000000
    235.440285      0.000000      0.000000      0.000000
    237.192984      0.000000      0.000000      0.000000
    238.945684      0.000000      0.000000      0.000000
