#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   2,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   7,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000001     0.00000002
  -19.3993994     0.00000013     0.00000020
  -19.3593594     0.00000117     0.00000167
  -19.3193193     0.00000750     0.00001006
  -19.2792793     0.00003475     0.00004403
  -19.2392392     0.00011684     0.00013983
  -19.1991992     0.00028509     0.00032224
  -19.1591592     0.00050482     0.00053889
  -19.1191191     0.00064870     0.00065398
  -19.0790791     0.00060492     0.00057594
  -19.0390390     0.00040935     0.00036807
  -18.9989990     0.00020102     0.00017070
  -18.9589590     0.00007164     0.00005745
  -18.9189189     0.00001853     0.00001403
  -18.8788789     0.00000348     0.00000249
  -18.8388388     0.00000050     0.00000036
  -18.7987988     0.00000042     0.00000062
  -18.7587588     0.00000393     0.00000577
  -18.7187187     0.00002975     0.00004127
  -18.6786787     0.00016362     0.00021421
  -18.6386386     0.00065306     0.00080685
  -18.5985986     0.00189158     0.00220539
  -18.5585586     0.00397599     0.00437448
  -18.5185185     0.00606473     0.00629673
  -18.4784785     0.00671313     0.00657735
  -18.4384384     0.00539245     0.00498580
  -18.3983984     0.00314336     0.00274262
  -18.3583584     0.00132969     0.00109482
  -18.3183183     0.00040818     0.00031715
  -18.2782783     0.00009093     0.00006667
  -18.2382382     0.00001470     0.00001018
  -18.1981982     0.00000180     0.00000125
  -18.1581582     0.00000116     0.00000166
  -18.1181181     0.00001024     0.00001496
  -18.0780781     0.00007496     0.00010341
  -18.0380380     0.00039868     0.00051886
  -17.9979980     0.00153865     0.00188929
  -17.9579580     0.00430932     0.00499222
  -17.9179179     0.00875838     0.00957275
  -17.8778779     0.01291774     0.01332071
  -17.8378378     0.01382600     0.01345132
  -17.7977978     0.01073876     0.00985712
  -17.7577578     0.00605284     0.00524183
  -17.7177177     0.00247578     0.00202284
  -17.6776777     0.00073487     0.00056649
  -17.6376376     0.00015829     0.00011512
  -17.5975976     0.00002474     0.00001698
  -17.5575576     0.00000281     0.00000182
  -17.5175175     0.00000023     0.00000014
  -17.4774775     0.00000001     0.00000001
  -17.4374374     0.00000000     0.00000000
  -17.3973974     0.00000000     0.00000000
  -17.3573574     0.00000000     0.00000000
  -17.3173173     0.00000000     0.00000000
  -17.2772773     0.00000000     0.00000000
  -17.2372372     0.00000000     0.00000000
  -17.1971972     0.00000000     0.00000000
  -17.1571572     0.00000000     0.00000000
  -17.1171171     0.00000000     0.00000000
  -17.0770771     0.00000000     0.00000000
  -17.0370370     0.00000000     0.00000000
  -16.9969970     0.00000000     0.00000000
  -16.9569570     0.00000000     0.00000000
  -16.9169169     0.00000001     0.00000001
  -16.8768769     0.00000015     0.00000024
  -16.8368368     0.00000210     0.00000323
  -16.7967968     0.00002141     0.00003110
  -16.7567568     0.00015824     0.00021723
  -16.7167167     0.00084872     0.00110121
  -16.6766767     0.00330348     0.00405112
  -16.6366366     0.00933099     0.01081499
  -16.5965966     0.01912630     0.02095198
  -16.5565566     0.02844995     0.02945583
  -16.5165165     0.03070996     0.03005141
  -16.4764765     0.02405607     0.02224877
  -16.4364364     0.01367468     0.01195348
  -16.3963964     0.00564102     0.00466048
  -16.3563564     0.00168867     0.00131860
  -16.3163163     0.00036685     0.00027075
  -16.2762763     0.00005799     0.00004060
  -16.2362362     0.00000910     0.00000824
  -16.1961962     0.00002854     0.00004161
  -16.1561562     0.00022845     0.00031845
  -16.1161161     0.00135276     0.00178295
  -16.0760761     0.00581382     0.00724452
  -16.0360360     0.01813227     0.02136133
  -15.9959960     0.04103835     0.04570824
  -15.9559560     0.06740233     0.07097544
  -15.9159159     0.08033548     0.07997773
  -15.8758759     0.06948442     0.06539997
  -15.8358358     0.04361311     0.03880918
  -15.7957958     0.01986659     0.01671308
  -15.7557558     0.00657340     0.00522692
  -15.7157157     0.00160047     0.00120198
  -15.6756757     0.00034221     0.00024734
  -15.6356356     0.00017299     0.00013744
  -15.5955956     0.00021670     0.00018520
  -15.5555556     0.00024881     0.00021939
  -15.5155155     0.00021667     0.00019967
  -15.4754755     0.00014027     0.00014193
  -15.4354354     0.00006701     0.00008073
  -15.3953954     0.00002350     0.00003713
  -15.3553554     0.00000603     0.00001367
  -15.3153153     0.00000113     0.00000393
  -15.2752753     0.00000015     0.00000086
  -15.2352352     0.00000002     0.00000014
  -15.1951952     0.00000008     0.00000003
  -15.1551552     0.00000091     0.00000013
  -15.1151151     0.00000782     0.00000141
  -15.0750751     0.00004950     0.00001127
  -15.0350350     0.00023102     0.00006578
  -14.9949950     0.00079869     0.00028035
  -14.9549550     0.00205765     0.00087759
  -14.9149149     0.00397293     0.00204061
  -14.8748749     0.00577535     0.00359382
  -14.8348348     0.00633514     0.00493467
  -14.7947948     0.00524036     0.00545617
  -14.7547548     0.00325778     0.00495249
  -14.7147147     0.00151418     0.00366271
  -14.6746747     0.00052340     0.00214496
  -14.6346346     0.00013673     0.00096444
  -14.5945946     0.00004659     0.00033327
  -14.5545546     0.00010853     0.00013334
  -14.5145145     0.00037286     0.00023134
  -14.4744745     0.00095994     0.00064611
  -14.4344344     0.00181173     0.00140048
  -14.3943944     0.00261194     0.00230951
  -14.3543544     0.00350322     0.00342445
  -14.3143143     0.00669467     0.00669915
  -14.2742743     0.01763152     0.01759560
  -14.2342342     0.04236419     0.04229024
  -14.1941942     0.07843270     0.07777767
  -14.1541542     0.10778456     0.10559536
