#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   3,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982    -0.00000000     0.00000000
  -18.1581582    -0.00000002    -0.00000001
  -18.1181181    -0.00000034    -0.00000018
  -18.0780781    -0.00000534    -0.00000300
  -18.0380380    -0.00006091    -0.00003656
  -17.9979980    -0.00051038    -0.00032678
  -17.9579580    -0.00314893    -0.00215199
  -17.9179179    -0.01437107    -0.01048877
  -17.8778779    -0.04884891    -0.03808058
  -17.8378378    -0.12492003    -0.10396372
  -17.7977978    -0.24366407    -0.21632202
  -17.7577578    -0.36842836    -0.34901638
  -17.7177177    -0.43806639    -0.44443599
  -17.6776777    -0.41218997    -0.45175522
  -17.6376376    -0.30527998    -0.36599655
  -17.5975976    -0.17537091    -0.23300134
  -17.5575576    -0.07675547    -0.11421884
  -17.5175175    -0.02519104    -0.04229287
  -17.4774775    -0.00612816    -0.01165767
  -17.4374374    -0.00112035    -0.00238539
  -17.3973974    -0.00040920    -0.00054985
  -17.3573574    -0.00208052    -0.00166094
  -17.3173173    -0.01179084    -0.00977555
  -17.2772773    -0.04954098    -0.04329777
  -17.2372372    -0.15407256    -0.14179505
  -17.1971972    -0.35680769    -0.34550487
  -17.1571572    -0.61978433    -0.63178843
  -17.1171171    -0.81368887    -0.87573725
  -17.0770771    -0.81268808    -0.92918715
  -17.0370370    -0.61982220    -0.75978405
  -16.9969970    -0.36145793    -0.47942566
  -16.9569570    -0.16412252    -0.23298217
  -16.9169169    -0.07226681    -0.09027696
  -16.8768769    -0.06939872    -0.04314454
  -16.8368368    -0.12197317    -0.06227674
  -16.7967968    -0.18497539    -0.12357902
  -16.7567568    -0.20743601    -0.19115394
  -16.7167167    -0.17208629    -0.21786981
  -16.6766767    -0.11979154    -0.19231683
  -16.6366366    -0.12327595    -0.17151135
  -16.5965966    -0.24933155    -0.24560442
  -16.5565566    -0.52109942    -0.46235920
  -16.5165165    -0.86811957    -0.77165683
  -16.4764765    -1.13488251    -1.04953404
  -16.4364364    -1.19186499    -1.18870862
  -16.3963964    -1.02952473    -1.14590453
  -16.3563564    -0.73785648    -0.93173656
  -16.3163163    -0.43710760    -0.61909265
  -16.2762763    -0.22656426    -0.32933944
  -16.2362362    -0.15301583    -0.15732936
  -16.1961962    -0.20113367    -0.12610590
  -16.1561562    -0.29893820    -0.20464587
  -16.1161161    -0.34848366    -0.32105781
  -16.0760761    -0.30002920    -0.37968240
  -16.0360360    -0.20066943    -0.33446226
  -15.9959960    -0.15182125    -0.24926759
  -15.9559560    -0.24089449    -0.25533168
  -15.9159159    -0.49970226    -0.45040566
  -15.8758759    -0.85843285    -0.80969520
  -15.8358358    -1.14541460    -1.16243728
  -15.7957958    -1.20332937    -1.30572765
  -15.7557558    -1.00771611    -1.16648416
  -15.7157157    -0.65989059    -0.82533504
  -15.6756757    -0.30732607    -0.42985927
  -15.6356356    -0.06473994    -0.11669484
  -15.5955956     0.03845482     0.04586736
  -15.5555556     0.04835805     0.07937145
  -15.5155155     0.02738359     0.05324870
  -15.4754755     0.01000401     0.02265741
  -15.4354354     0.00161784     0.00442299
  -15.3953954    -0.00440849    -0.00973249
  -15.3553554    -0.01686649    -0.03540725
  -15.3153153    -0.04223387    -0.08200654
  -15.2752753    -0.07544573    -0.13677214
  -15.2352352    -0.09433925    -0.16341119
  -15.1951952    -0.07738722    -0.13501774
  -15.1551552    -0.03164419    -0.06756684
  -15.1151151     0.01075818    -0.00515782
  -15.0750751     0.02700401     0.02365089
  -15.0350350     0.02151531     0.02322761
  -14.9949950     0.01062565     0.01272613
  -14.9549550     0.00386893     0.00479689
  -14.9149149     0.00254162     0.00199451
  -14.8748749     0.00736322     0.00435659
  -14.8348348     0.02324529     0.01636137
  -14.7947948     0.05698870     0.04799851
  -14.7547548     0.10844470     0.10526527
  -14.7147147     0.16287261     0.17306775
  -14.6746747     0.19572863     0.21453913
  -14.6346346     0.19047792     0.20301417
  -14.5945946     0.15333227     0.15174544
  -14.5545546     0.10673463     0.09775902
  -14.5145145     0.07003222     0.06420836
  -14.4744745     0.05276824     0.05249116
  -14.4344344     0.05907794     0.05761108
  -14.3943944     0.08679449     0.07421678
  -14.3543544     0.12504373     0.09590941
  -14.3143143     0.15784909     0.11787374
  -14.2742743     0.17282256     0.13636195
  -14.2342342     0.17535055     0.15026018
  -14.1941942     0.19064820     0.16612293
  -14.1541542     0.23160106     0.18734645
  -14.1141141     0.26912475     0.19902460
  -14.0740741     0.26007556     0.18174395
  -14.0340340     0.20128986     0.14004959
  -13.9939940     0.13475092     0.10396040
  -13.9539540     0.10229526     0.09809713
  -13.9139139     0.10724264     0.11372134
  -13.8738739     0.11778098     0.11864728
  -13.8338338     0.10330274     0.09560290
  -13.7937938     0.06422412     0.06109597
  -13.7537538     0.02673799     0.04752663
  -13.7137137     0.02505931     0.08207656
  -13.6736737     0.09292045     0.17473449
  -13.6336336     0.23720762     0.29550904
  -13.5935936     0.39709795     0.36884894
  -13.5535536     0.46982805     0.33887356
  -13.5135135     0.41753080     0.24276160
  -13.4734735     0.31343319     0.16812015
  -13.4334334     0.24761249     0.14758330
  -13.3933934     0.22940292     0.14677516
  -13.3533534     0.21224292     0.13227092
  -13.3133133     0.17028661     0.10389849
  -13.2732733     0.11570778     0.07419312
  -13.2332332     0.06765121     0.04872098
  -13.1931932     0.03465470     0.02878800
  -13.1531532     0.01880603     0.01869772
  -13.1131131     0.02146977     0.02604653
  -13.0730731     0.04624234     0.06066330
  -13.0330330     0.10328324     0.13392836
  -12.9929930     0.21211374     0.25176031
  -12.9529530     0.38188423     0.39457166
  -12.9129129     0.56500472     0.50257224
  -12.8728729     0.65868386     0.51177180
  -12.8328328     0.60374236     0.41994059
  -12.7927928     0.45483056     0.28907863
  -12.7527528     0.31187688     0.18483475
  -12.7127127     0.22528974     0.13816136
  -12.6726727     0.18772425     0.14170063
  -12.6326326     0.16926030     0.15867096
  -12.5925926     0.15104967     0.15489533
  -12.5525526     0.14349197     0.13024974
  -12.5125125     0.16242067     0.10600554
  -12.4724725     0.19382998     0.09671488
  -12.4324324     0.21361537     0.11664273
  -12.3923924     0.24405851     0.19682941
  -12.3523524     0.35456584     0.36765554
  -12.3123123     0.57353714     0.61479728
  -12.2722723     0.80533730     0.84891858
  -12.2322322     0.88905639     0.93877828
  -12.1921922     0.77395105     0.82504033
  -12.1521522     0.58232292     0.60649115
  -12.1121121     0.46578254     0.45943969
  -12.0720721     0.46161253     0.46198372
  -12.0320320     0.50853557     0.53226391
  -11.9919920     0.53484411     0.53779656
  -11.9519520     0.50393521     0.43439277
  -11.9119119     0.42344682     0.28643334
  -11.8718719     0.33400413     0.18024258
  -11.8318318     0.26404663     0.14798017
  -11.7917918     0.20553504     0.16130319
  -11.7517518     0.15056284     0.17406968
  -11.7117117     0.12173503     0.16976717
  -11.6716717     0.15170285     0.16709628
  -11.6316316     0.24510496     0.18573841
  -11.5915916     0.35925076     0.22507991
  -11.5515516     0.43154086     0.27324885
  -11.5115115     0.44635488     0.32756165
  -11.4714715     0.45910605     0.40719694
  -11.4314314     0.52648768     0.52519636
  -11.3913914     0.63271479     0.64407062
  -11.3513514     0.71873760     0.70543591
  -11.3113113     0.75894910     0.70786127
  -11.2712713     0.76362620     0.70086415
