#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793    -0.00000000    -0.00000000
  -19.2392392    -0.00000002    -0.00000002
  -19.1991992    -0.00000026    -0.00000026
  -19.1591592    -0.00000324    -0.00000324
  -19.1191191    -0.00002913    -0.00002918
  -19.0790791    -0.00018996    -0.00019022
  -19.0390390    -0.00089546    -0.00089645
  -18.9989990    -0.00304206    -0.00304456
  -18.9589590    -0.00740004    -0.00740407
  -18.9189189    -0.01272235    -0.01272561
  -18.8788789    -0.01501430    -0.01501361
  -18.8388388    -0.01124789    -0.01124346
  -18.7987988    -0.00379615    -0.00379234
  -18.7587588     0.00183947     0.00183946
  -18.7187187     0.00321915     0.00321653
  -18.6786787     0.00210864     0.00210613
  -18.6386386     0.00085453     0.00085323
  -18.5985986     0.00023577     0.00023534
  -18.5585586     0.00004582     0.00004573
  -18.5185185     0.00000645     0.00000644
  -18.4784785     0.00000169     0.00000168
  -18.4384384     0.00000936     0.00000933
  -18.3983984     0.00006236     0.00006219
  -18.3583584     0.00032959     0.00032879
  -18.3183183     0.00146108     0.00145855
  -18.2782783     0.00567155     0.00566661
  -18.2382382     0.01904500     0.01904101
  -18.1981982     0.05266299     0.05266911
  -18.1581582     0.11499930     0.11502099
  -18.1181181     0.19467164     0.19469509
  -18.0780781     0.25479985     0.25479494
  -18.0380380     0.25834646     0.25829479
  -17.9979980     0.20259216     0.20250894
  -17.9579580     0.12194345     0.12186458
  -17.9179179     0.05568616     0.05563586
  -17.8778779     0.01905761     0.01903523
  -17.8378378     0.00483735     0.00483030
  -17.7977978     0.00090377     0.00090220
  -17.7577578     0.00012534     0.00012509
  -17.7177177     0.00003378     0.00003379
  -17.6776777     0.00019304     0.00019331
  -17.6376376     0.00125603     0.00125752
  -17.5975976     0.00601093     0.00601659
  -17.5575576     0.02116810     0.02118292
  -17.5175175     0.05525197     0.05527764
  -17.4774775     0.10792645     0.10795179
  -17.4374374     0.15956750     0.15956904
  -17.3973974     0.18051608     0.18047738
  -17.3573574     0.15736854     0.15729890
  -17.3173173     0.10577364     0.10570172
  -17.2772773     0.05447229     0.05442168
  -17.2372372     0.02126855     0.02124324
  -17.1971972     0.00622440     0.00621531
  -17.1571572     0.00135184     0.00134950
  -17.1171171     0.00021624     0.00021580
  -17.0770771     0.00002534     0.00002528
  -17.0370370     0.00000217     0.00000216
  -16.9969970     0.00000014     0.00000013
  -16.9569570     0.00000001     0.00000001
  -16.9169169     0.00000000     0.00000000
  -16.8768769     0.00000000     0.00000000
  -16.8368368     0.00000000     0.00000000
  -16.7967968     0.00000000     0.00000000
  -16.7567568     0.00000000     0.00000000
  -16.7167167     0.00000000     0.00000000
  -16.6766767     0.00000000     0.00000000
  -16.6366366     0.00000000     0.00000000
  -16.5965966     0.00000000     0.00000000
  -16.5565566     0.00000000     0.00000000
  -16.5165165     0.00000004     0.00000004
  -16.4764765     0.00000063     0.00000063
  -16.4364364     0.00000798     0.00000800
  -16.3963964     0.00007338     0.00007348
  -16.3563564     0.00048929     0.00048983
  -16.3163163     0.00236674     0.00236876
  -16.2762763     0.00830819     0.00831322
  -16.2362362     0.02120420     0.02121158
  -16.1961962     0.03963413     0.03963667
  -16.1561562     0.05569427     0.05567926
  -16.1161161     0.06379529     0.06375403
  -16.0760761     0.07072715     0.07066479
  -16.0360360     0.08706335     0.08700017
  -15.9959960     0.10999489     0.10995535
  -15.9559560     0.12608068     0.12607403
  -15.9159159     0.12820439     0.12821960
  -15.8758759     0.12041564     0.12043923
  -15.8358358     0.11040112     0.11042844
  -15.7957958     0.10221231     0.10223783
  -15.7557558     0.09266858     0.09268042
  -15.7157157     0.07544053     0.07543251
  -15.6756757     0.05064097     0.05062108
  -15.6356356     0.02601887     0.02599978
  -15.5955956     0.00719467     0.00718081
  -15.5555556    -0.00967387    -0.00968809
  -15.5155155    -0.03518131    -0.03520453
  -15.4754755    -0.07655815    -0.07659337
  -15.4354354    -0.12470341    -0.12474453
  -15.3953954    -0.14872096    -0.14876409
  -15.3553554    -0.11230120    -0.11236007
  -15.3153153    -0.00790707    -0.00799454
  -15.2752753     0.12207901     0.12199481
  -15.2352352     0.20724613     0.20723029
  -15.1951952     0.20623193     0.20630626
  -15.1551552     0.14179957     0.14191358
  -15.1151151     0.06987317     0.06996425
  -15.0750751     0.02484804     0.02489577
  -15.0350350     0.00634321     0.00636091
  -14.9949950     0.00111895     0.00112383
  -14.9549550    -0.00008436    -0.00008300
  -14.9149149    -0.00143932    -0.00143717
  -14.8748749    -0.00687964    -0.00687183
  -14.8348348    -0.02406804    -0.02404632
  -14.7947948    -0.06233016    -0.06228824
  -14.7547548    -0.11953101    -0.11947961
  -14.7147147    -0.16743106    -0.16740667
  -14.6746747    -0.16219075    -0.16223195
  -14.6346346    -0.08716418    -0.08726324
  -14.5945946     0.01630634     0.01621375
  -14.5545546     0.08167147     0.08164312
  -14.5145145     0.08354294     0.08357219
  -14.4744745     0.05096966     0.05101115
  -14.4344344     0.02103984     0.02106533
  -14.3943944     0.00596539     0.00597457
  -14.3543544     0.00008741     0.00008866
  -14.3143143    -0.00474816    -0.00474833
  -14.2742743    -0.01426836    -0.01426367
  -14.2342342    -0.03129588    -0.03128113
  -14.1941942    -0.05230594    -0.05228603
  -14.1541542    -0.06439627    -0.06438825
  -14.1141141    -0.05483605    -0.05485026
  -14.0740741    -0.02842706    -0.02845161
  -14.0340340    -0.00467341    -0.00468967
  -13.9939940     0.00483470     0.00483091
  -13.9539540     0.00433504     0.00433669
  -13.9139139     0.00178688     0.00178848
  -13.8738739     0.00014814     0.00014848
  -13.8338338    -0.00164616    -0.00164748
  -13.7937938    -0.00656201    -0.00656774
  -13.7537538    -0.01881441    -0.01883152
  -13.7137137    -0.04152732    -0.04156507
  -13.6736737    -0.07242525    -0.07248312
  -13.6336336    -0.10225456    -0.10230564
  -13.5935936    -0.11938726    -0.11938489
  -13.5535536    -0.11749961    -0.11742107
  -13.5135135    -0.09824041    -0.09812436
  -13.4734735    -0.06629500    -0.06621579
  -13.4334334    -0.02714105    -0.02713881
  -13.3933934     0.00755896     0.00751212
  -13.3533534     0.01986859     0.01983220
  -13.3133133    -0.00025477    -0.00025087
  -13.2732733    -0.03927487    -0.03925399
  -13.2332332    -0.06665848    -0.06666096
  -13.1931932    -0.06409837    -0.06413229
  -13.1531532    -0.04124610    -0.04128727
  -13.1131131    -0.01841526    -0.01844326
  -13.0730731    -0.00485196    -0.00486719
  -13.0330330     0.00214345     0.00213094
  -12.9929930     0.00604781     0.00603460
  -12.9529530     0.00322072     0.00321738
  -12.9129129    -0.01351806    -0.01349945
  -12.8728729    -0.03959507    -0.03956592
  -12.8328328    -0.05264253    -0.05263496
  -12.7927928    -0.03432468    -0.03435448
  -12.7527528     0.00549190     0.00544509
  -12.7127127     0.03567305     0.03564786
  -12.6726727     0.03095007     0.03097323
  -12.6326326    -0.00890133    -0.00883845
  -12.5925926    -0.05907340    -0.05901571
  -12.5525526    -0.08792970    -0.08792351
  -12.5125125    -0.08202196    -0.08207129
  -12.4724725    -0.05453482    -0.05460123
  -12.4324324    -0.02786022    -0.02790446
  -12.3923924    -0.01380808    -0.01381914
  -12.3523524    -0.01193587    -0.01192386
  -12.3123123    -0.01765660    -0.01763309
  -12.2722723    -0.02718252    -0.02715415
  -12.2322322    -0.03748996    -0.03746599
  -12.1921922    -0.04456570    -0.04455842
  -12.1521522    -0.04415373    -0.04416493
  -12.1121121    -0.03469592    -0.03471205
  -12.0720721    -0.01920643    -0.01921267
  -12.0320320    -0.00546350    -0.00545640
  -11.9919920    -0.00123937    -0.00122667
  -11.9519520    -0.00601460    -0.00600685
  -11.9119119    -0.01171181    -0.01171225
  -11.8718719    -0.01340073    -0.01340125
  -11.8318318    -0.01528334    -0.01526892
  -11.7917918    -0.02614388    -0.02610224
  -11.7517518    -0.05059839    -0.05053415
  -11.7117117    -0.08270571    -0.08264763
  -11.6716717    -0.10815751    -0.10813907
  -11.6316316    -0.11636761    -0.11639461
  -11.5915916    -0.11075440    -0.11080063
  -11.5515516    -0.10417790    -0.10421664
  -11.5115115    -0.10324549    -0.10327655
  -11.4714715    -0.10132498    -0.10136110
  -11.4314314    -0.09107262    -0.09110870
  -11.3913914    -0.07641698    -0.07643460
  -11.3513514    -0.06469776    -0.06469344
  -11.3113113    -0.05670282    -0.05668801
  -11.2712713    -0.05207029    -0.05205141
  -11.2312312    -0.05504096    -0.05501793
  -11.1911912    -0.06890053    -0.06887577
  -11.1511512    -0.08939971    -0.08937807
  -11.1111111    -0.10579852    -0.10578669
  -11.0710711    -0.10863299    -0.10863887
  -11.0310310    -0.09758150    -0.09760546
  -10.9909910    -0.08010192    -0.08013321
  -10.9509510    -0.06274693    -0.06277466
  -10.9109109    -0.04776541    -0.04778782
  -10.8708709    -0.03702412    -0.03704477
  -10.8308308    -0.03349479    -0.03351423
  -10.7907908    -0.03773963    -0.03775307
  -10.7507508    -0.04535876    -0.04536376
  -10.7107107    -0.04865302    -0.04865748
  -10.6706707    -0.04199174    -0.04200572
  -10.6306306    -0.02720833    -0.02722840
  -10.5905906    -0.01256862    -0.01257928
  -10.5505506    -0.00536945    -0.00535918
  -10.5105105    -0.00631386    -0.00628591
  -10.4704705    -0.01001973    -0.00999246
  -10.4304304    -0.00962476    -0.00962233
