# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 94
# Emin, Emax in file for selected band(s):    -86.7798906    180.1951490
# Nbands, Nspin, Nk   =     94     2    44
# E_F                 =    -6.9257 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    -87.079891      0.000000      0.000000      0.000000
    -85.735292      0.000000      0.000000      0.000000
    -84.390694      0.000000      0.000000      0.000000
    -83.046096      0.000000      0.000000      0.000000
    -81.701498      0.000000      0.000000      0.000000
    -80.356900      0.000000      0.000000      0.000000
    -79.012301      0.000000      0.000000      0.000000
    -77.667703      0.000000      0.000000      0.000000
    -76.323105      0.000000      0.000000      0.000000
    -74.978507      0.000000      0.000000      0.000000
    -73.633909      0.000000      0.000000      0.000000
    -72.289311      0.000000      0.000000      0.000000
    -70.944712      0.000000      0.000000      0.000000
    -69.600114      0.000000      0.000000      0.000000
    -68.255516      0.000000      0.000000      0.000000
    -66.910918      0.000000      0.000000      0.000000
    -65.566320      0.000000      0.000000      0.000000
    -64.221721      0.000000      0.000000      0.000000
    -62.877123      0.000000      0.000000      0.000000
    -61.532525      0.000000      0.000000      0.000000
    -60.187927      0.000000      0.000000      0.000000
    -58.843329      0.000000      0.000000      0.000000
    -57.498730      0.000000      0.000000      0.000000
    -56.154132      0.000000      0.000000      0.000000
    -54.809534      0.000000      0.000000      0.000000
    -53.464936      0.000000      0.000000      0.000000
    -52.120338      0.000000      0.000000      0.000000
    -50.775739      0.000000      0.000000      0.000000
    -49.431141      0.000000      0.000000      0.000000
    -48.086543      0.000000      0.000000      0.000000
    -46.741945     20.503362     20.513930     41.017293
    -45.397347      0.000000      0.000000      0.000000
    -44.052749      0.000000      0.000000      0.000000
    -42.708150      0.000000      0.000000      0.000000
    -41.363552      0.000000      0.000000      0.000000
    -40.018954      0.000000      0.000000      0.000000
    -38.674356      0.000000      0.000000      0.000000
    -37.329758      0.000000      0.000000      0.000000
    -35.985159      0.000000      0.000000      0.000000
    -34.640561      0.000000      0.000000      0.000000
    -33.295963      0.000000      0.000000      0.000000
    -31.951365      0.000000      0.000000      0.000000
    -30.606767      0.000000      0.000000      0.000000
    -29.262168      0.000000      0.000000      0.000000
    -27.917570      0.000000      0.000000      0.000000
    -26.572972      0.000000      0.000000      0.000000
    -25.228374      0.000000      0.000000      0.000000
    -23.883776      0.000000      0.000000      0.000000
    -22.539178      0.000000      0.000000      0.000000
    -21.194579      0.000000      0.000000      0.000000
    -19.849981      0.000000      0.000000      0.000000
    -18.505383      0.000000      0.000000      0.000000
    -17.160785      0.000000      0.000000      0.000000
    -15.816187      0.000000      0.000000      0.000000
    -14.471588      0.480210      0.480208      0.960419
    -13.126990      0.000000      0.000000      0.000000
    -11.782392      0.026025      0.026026      0.052050
    -10.437794      0.245754      0.245768      0.491522
     -9.093196      0.000002      0.000002      0.000004
     -7.748597      0.109014      0.109034      0.218048
     -6.403999      0.193275      0.193192      0.386467
     -5.059401      0.820504      0.821337      1.641841
     -3.714803      0.339194      0.338943      0.678137
     -2.370205      2.169000      2.168948      4.337948
     -1.025607      3.599754      3.599838      7.199592
      0.318992      1.337108      1.336599      2.673706
      1.663590      0.544082      0.544777      1.088859
