#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   2,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000    -0.00000000
  -19.0790791     0.00000000    -0.00000001
  -19.0390390    -0.00000000    -0.00000017
  -18.9989990    -0.00000005    -0.00000264
  -18.9589590    -0.00000085    -0.00003007
  -18.9189189    -0.00001079    -0.00024889
  -18.8788789    -0.00009982    -0.00149515
  -18.8388388    -0.00067003    -0.00651801
  -18.7987988    -0.00326393    -0.02062023
  -18.7587588    -0.01153812    -0.04733900
  -18.7187187    -0.02959893    -0.07886641
  -18.6786787    -0.05510164    -0.09534818
  -18.6386386    -0.07443897    -0.08365274
  -18.5985986    -0.07297660    -0.05325929
  -18.5585586    -0.05191757    -0.02460696
  -18.5185185    -0.02680356    -0.00825026
  -18.4784785    -0.01004195    -0.00200736
  -18.4384384    -0.00273018    -0.00035443
  -18.3983984    -0.00053866    -0.00004540
  -18.3583584    -0.00007717    -0.00000408
  -18.3183183    -0.00000886     0.00000118
  -18.2782783    -0.00001074     0.00001094
  -18.2382382    -0.00008846     0.00005965
  -18.1981982    -0.00055993     0.00023568
  -18.1581582    -0.00257284     0.00067572
  -18.1181181    -0.00857917     0.00140591
  -18.0780781    -0.02075985     0.00212271
  -18.0380380    -0.03645445     0.00232581
  -17.9979980    -0.04645413     0.00184928
  -17.9579580    -0.04295815     0.00106704
  -17.9179179    -0.02882798     0.00044679
  -17.8778779    -0.01403881     0.00013576
  -17.8378378    -0.00496128     0.00002994
  -17.7977978    -0.00127234     0.00000482
  -17.7577578    -0.00023679     0.00000111
  -17.7177177    -0.00003196     0.00000723
  -17.6776777    -0.00000281     0.00006809
  -17.6376376     0.00000353     0.00046821
  -17.5975976     0.00003130     0.00233664
  -17.5575576     0.00018966     0.00846231
  -17.5175175     0.00083356     0.02223990
  -17.4774775     0.00265859     0.04241544
  -17.4374374     0.00615339     0.05870331
  -17.3973974     0.01033535     0.05895879
  -17.3573574     0.01259747     0.04297164
  -17.3173173     0.01114265     0.02272808
  -17.2772773     0.00715223     0.00872350
  -17.2372372     0.00333151     0.00242978
  -17.1971972     0.00112613     0.00049112
  -17.1571572     0.00027624     0.00007204
  -17.1171171     0.00004917     0.00000767
  -17.0770771     0.00000635     0.00000059
  -17.0370370     0.00000060     0.00000003
  -16.9969970     0.00000004     0.00000000
  -16.9569570     0.00000000     0.00000000
  -16.9169169     0.00000000     0.00000000
  -16.8768769     0.00000000     0.00000000
  -16.8368368     0.00000000     0.00000000
  -16.7967968     0.00000000     0.00000000
  -16.7567568     0.00000000     0.00000000
  -16.7167167     0.00000000     0.00000000
  -16.6766767     0.00000000     0.00000000
  -16.6366366     0.00000000     0.00000000
  -16.5965966     0.00000000     0.00000000
  -16.5565566     0.00000000     0.00000000
  -16.5165165     0.00000000     0.00000000
  -16.4764765    -0.00000000     0.00000002
  -16.4364364    -0.00000000     0.00000034
  -16.3963964    -0.00000002     0.00000346
  -16.3563564    -0.00000028     0.00002587
  -16.3163163    -0.00000301     0.00014016
  -16.2762763    -0.00002327     0.00055111
  -16.2362362    -0.00013035     0.00157253
  -16.1961962    -0.00052994     0.00325618
  -16.1561562    -0.00156342     0.00489289
  -16.1161161    -0.00334713     0.00533544
  -16.0760761    -0.00520019     0.00422204
  -16.0360360    -0.00586290     0.00242450
  -15.9959960    -0.00479682     0.00101034
  -15.9559560    -0.00284799     0.00030554
  -15.9159159    -0.00122659     0.00006722
  -15.8758759    -0.00037641     0.00001324
  -15.8358358    -0.00001061     0.00002824
  -15.7957958     0.00056948     0.00020225
  -15.7557558     0.00323116     0.00106339
  -15.7157157     0.01296068     0.00386597
  -15.6756757     0.03746201     0.00938657
  -15.6356356     0.07713634     0.01394375
  -15.5955956     0.10908702     0.00857546
  -15.5555556     0.09252410    -0.00944028
  -15.5155155     0.01077376    -0.02417340
  -15.4754755    -0.09213650    -0.01066231
  -15.4354354    -0.13616288     0.04317734
  -15.3953954    -0.07866265     0.12454796
  -15.3553554     0.04064918     0.19425850
  -15.3153153     0.13552696     0.20814030
  -15.2752753     0.15252463     0.15993787
  -15.2352352     0.10841791     0.08895841
  -15.1951952     0.05363582     0.03588708
  -15.1551552     0.01899359     0.01050887
  -15.1151151     0.00494649     0.00228592
  -15.0750751     0.00170849     0.00085747
  -15.0350350     0.00521391     0.00354477
  -14.9949950     0.02325724     0.01737651
  -14.9549550     0.07699047     0.06246988
  -14.9149149     0.18504445     0.16300954
  -14.8748749     0.32276595     0.30872949
  -14.8348348     0.40871026     0.42478840
  -14.7947948     0.37675710     0.42720326
  -14.7547548     0.25847424     0.32616297
  -14.7147147     0.15397548     0.22947087
  -14.6746747     0.13682198     0.23180229
  -14.6346346     0.20659354     0.32396774
  -14.5945946     0.29677311     0.40448906
  -14.5545546     0.32234764     0.38072763
  -14.5145145     0.25540504     0.26163224
  -14.4744745     0.14695076     0.13059517
  -14.4344344     0.06141310     0.04734092
  -14.3943944     0.01910766     0.01274242
  -14.3543544     0.00759071     0.00459066
  -14.3143143     0.01797595     0.01208907
  -14.2742743     0.06247402     0.04551552
  -14.2342342     0.16380467     0.12874876
  -14.1941942     0.31367804     0.26850370
  -14.1541542     0.43901507     0.41744469
  -14.1141141     0.45157687     0.49398866
  -14.0740741     0.35035534     0.46159560
  -14.0340340     0.23224289     0.36465344
  -13.9939940     0.19069185     0.27668990
  -13.9539540     0.23633597     0.23435206
  -13.9139139     0.30551581     0.21756384
  -13.8738739     0.31907861     0.18416189
  -13.8338338     0.24411743     0.12322435
  -13.7937938     0.11134451     0.06120024
  -13.7537538    -0.02138220     0.02205514
  -13.7137137    -0.10639463     0.00610488
  -13.6736737    -0.11959516     0.00362461
  -13.6336336    -0.06689433     0.01098803
  -13.5935936     0.02222013     0.03324950
  -13.5535536     0.11057784     0.07510726
  -13.5135135     0.16182071     0.12710505
  -13.4734735     0.15790477     0.16505176
  -13.4334334     0.12065001     0.16998372
  -13.3933934     0.09402409     0.14313330
  -13.3533534     0.09763734     0.09939882
  -13.3133133     0.11074303     0.05580387
  -13.2732733     0.10346215     0.02447448
  -13.2332332     0.07223894     0.00809987
  -13.1931932     0.03755346     0.00197367
  -13.1531532     0.01812430     0.00134004
  -13.1131131     0.02172038     0.00755600
  -13.0730731     0.05388173     0.03040464
  -13.0330330     0.11692255     0.08125566
  -12.9929930     0.19461994     0.15509002
  -12.9529530     0.25027344     0.22253440
  -12.9129129     0.25247018     0.25174223
  -12.8728729     0.20207812     0.23654213
  -12.8328328     0.13207017     0.19691847
  -12.7927928     0.08229834     0.15530890
  -12.7527528     0.07186360     0.11767622
  -12.7127127     0.09097259     0.08110924
  -12.6726727     0.11701928     0.05318399
  -12.6326326     0.14390948     0.05442577
  -12.5925926     0.19219410     0.10323403
  -12.5525526     0.26942542     0.19078230
  -12.5125125     0.32823167     0.26293903
  -12.4724725     0.30713913     0.25613797
  -12.4324324     0.21467497     0.17566042
  -12.3923924     0.12925588     0.10650964
  -12.3523524     0.11231432     0.11916943
  -12.3123123     0.14707516     0.18575384
  -12.2722723     0.16120544     0.21021432
  -12.2322322     0.10199294     0.13571024
  -12.1921922    -0.01120511     0.00447036
  -12.1521522    -0.10788106    -0.09336309
  -12.1121121    -0.13158617    -0.11082575
  -12.0720721    -0.08461461    -0.07156646
  -12.0320320    -0.01675633    -0.02393195
  -11.9919920     0.02510600     0.00770096
  -11.9519520     0.03240847     0.02797795
  -11.9119119     0.02565453     0.04824219
  -11.8718719     0.02510673     0.06847050
  -11.8318318     0.03450519     0.07775387
  -11.7917918     0.04368306     0.06658198
  -11.7517518     0.04107020     0.03195137
  -11.7117117     0.02436169    -0.02662930
  -11.6716717    -0.00171040    -0.10042641
  -11.6316316    -0.03580353    -0.15813849
  -11.5915916    -0.07809256    -0.16286016
  -11.5515516    -0.11474423    -0.11380994
  -11.5115115    -0.12055880    -0.05045633
  -11.4714715    -0.08908603    -0.00864771
  -11.4314314    -0.04434568     0.00772869
  -11.3913914    -0.01247366     0.01194026
  -11.3513514     0.00162479     0.01270070
  -11.3113113     0.00553560     0.01162535
  -11.2712713     0.00529740     0.00860717
  -11.2312312     0.00485129     0.00240397
  -11.1911912     0.00771591    -0.00960345
  -11.1511512     0.01428198    -0.02745091
