#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   8,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000001     0.00000000
  -18.6786787     0.00000009     0.00000002
  -18.6386386     0.00000051     0.00000015
  -18.5985986     0.00000216     0.00000072
  -18.5585586     0.00000690     0.00000277
  -18.5185185     0.00001697     0.00000839
  -18.4784785     0.00003279     0.00001980
  -18.4384384     0.00005038     0.00003592
  -18.3983984     0.00006133     0.00004928
  -18.3583584     0.00005817     0.00005039
  -18.3183183     0.00004209     0.00003802
  -18.2782783     0.00002282     0.00002102
  -18.2382382     0.00000915     0.00000849
  -18.1981982     0.00000269     0.00000249
  -18.1581582     0.00000058     0.00000053
  -18.1181181     0.00000009     0.00000008
  -18.0780781     0.00000002     0.00000002
  -18.0380380     0.00000014     0.00000008
  -17.9979980     0.00000122     0.00000073
  -17.9579580     0.00000792     0.00000499
  -17.9179179     0.00003782     0.00002508
  -17.8778779     0.00013417     0.00009372
  -17.8378378     0.00035970     0.00026486
  -17.7977978     0.00074714     0.00057894
  -17.7577578     0.00124023     0.00100551
  -17.7177177     0.00169559     0.00142470
  -17.6776777     0.00194950     0.00168004
  -17.6376376     0.00190129     0.00166685
  -17.5975976     0.00156927     0.00139212
  -17.5575576     0.00108398     0.00096852
  -17.5175175     0.00062203     0.00055491
  -17.4774775     0.00030920     0.00026914
  -17.4374374     0.00015577     0.00012722
  -17.3973974     0.00009216     0.00007073
  -17.3573574     0.00005609     0.00004262
  -17.3173173     0.00002844     0.00002209
  -17.2772773     0.00001115     0.00000887
  -17.2372372     0.00000592     0.00000415
  -17.1971972     0.00002204     0.00001326
  -17.1571572     0.00011679     0.00007321
  -17.1171171     0.00046580     0.00030786
  -17.0770771     0.00137126     0.00095519
  -17.0370370     0.00300923     0.00220417
  -16.9969970     0.00499877     0.00383214
  -16.9569570     0.00641051     0.00510561
  -16.9169169     0.00649085     0.00532322
  -16.8768769     0.00534419     0.00447877
  -16.8368368     0.00381862     0.00325567
  -16.7967968     0.00275529     0.00238480
  -16.7567568     0.00235230     0.00206902
  -16.7167167     0.00223705     0.00201036
  -16.6766767     0.00199344     0.00184320
  -16.6366366     0.00149669     0.00143476
  -16.5965966     0.00089630     0.00089747
  -16.5565566     0.00041311     0.00043461
  -16.5165165     0.00014321     0.00015873
  -16.4764765     0.00003892     0.00004345
  -16.4364364     0.00002456     0.00001311
  -16.3963964     0.00009904     0.00003183
  -16.3563564     0.00039485     0.00014847
  -16.3163163     0.00115296     0.00052200
  -16.2762763     0.00244502     0.00133347
  -16.2362362     0.00377327     0.00247632
  -16.1961962     0.00428444     0.00336318
  -16.1561562     0.00376686     0.00342872
  -16.1161161     0.00308516     0.00289667
  -16.0760761     0.00317063     0.00257320
  -16.0360360     0.00384702     0.00278108
  -15.9959960     0.00408030     0.00297357
  -15.9559560     0.00330150     0.00255601
  -15.9159159     0.00202521     0.00166501
  -15.8758759     0.00111111     0.00089589
  -15.8358358     0.00093239     0.00062168
  -15.7957958     0.00136628     0.00082023
  -15.7557558     0.00213579     0.00129159
  -15.7157157     0.00298589     0.00184835
  -15.6756757     0.00370085     0.00238452
  -15.6356356     0.00403495     0.00278206
  -15.5955956     0.00372720     0.00279792
  -15.5555556     0.00279318     0.00227835
  -15.5155155     0.00170766     0.00147126
  -15.4754755     0.00104085     0.00085724
  -15.4354354     0.00097904     0.00069849
  -15.3953954     0.00126894     0.00088234
  -15.3553554     0.00148193     0.00108807
  -15.3153153     0.00134267     0.00105094
  -15.2752753     0.00092644     0.00076149
  -15.2352352     0.00054955     0.00042607
  -15.1951952     0.00051034     0.00024876
  -15.1551552     0.00097696     0.00031119
  -15.1151151     0.00198188     0.00059970
  -15.0750751     0.00342287     0.00104987
  -15.0350350     0.00513261     0.00160777
  -14.9949950     0.00686887     0.00227137
  -14.9549550     0.00818889     0.00297691
  -14.9149149     0.00868059     0.00351355
  -14.8748749     0.00849306     0.00375552
  -14.8348348     0.00827205     0.00390252
  -14.7947948     0.00828668     0.00420232
  -14.7547548     0.00792174     0.00442981
  -14.7147147     0.00651703     0.00402651
  -14.6746747     0.00443446     0.00289817
  -14.6346346     0.00275941     0.00166176
  -14.5945946     0.00226421     0.00100235
  -14.5545546     0.00294642     0.00115224
  -14.5145145     0.00424652     0.00192755
  -14.4744745     0.00572583     0.00297552
  -14.4344344     0.00763095     0.00409519
  -14.3943944     0.01044926     0.00536911
  -14.3543544     0.01412615     0.00686373
  -14.3143143     0.01808547     0.00851891
  -14.2742743     0.02126257     0.01038650
  -14.2342342     0.02224367     0.01225131
  -14.1941942     0.02086213     0.01321473
  -14.1541542     0.01901025     0.01270057
  -14.1141141     0.01830630     0.01142563
  -14.0740741     0.01804779     0.01033656
  -14.0340340     0.01681188     0.00926304
  -13.9939940     0.01476602     0.00768698
  -13.9539540     0.01292448     0.00610475
  -13.9139139     0.01141053     0.00543787
  -13.8738739     0.00996230     0.00564880
  -13.8338338     0.00896513     0.00591610
  -13.7937938     0.00887175     0.00573434
  -13.7537538     0.00960984     0.00521129
  -13.7137137     0.01104613     0.00478437
  -13.6736737     0.01286952     0.00508652
  -13.6336336     0.01383454     0.00643467
  -13.5935936     0.01260109     0.00801973
  -13.5535536     0.00945410     0.00832193
  -13.5135135     0.00606967     0.00674567
  -13.4734735     0.00394182     0.00422661
  -13.4334334     0.00363918     0.00209108
  -13.3933934     0.00488326     0.00097362
  -13.3533534     0.00689327     0.00087339
  -13.3133133     0.00899315     0.00162512
  -13.2732733     0.01104605     0.00300675
  -13.2332332     0.01313225     0.00458411
  -13.1931932     0.01480247     0.00574138
  -13.1531532     0.01505032     0.00601911
  -13.1131131     0.01332738     0.00545009
  -13.0730731     0.01049373     0.00448309
  -13.0330330     0.00876856     0.00360566
  -12.9929930     0.01081463     0.00327173
  -12.9529530     0.01855308     0.00411834
  -12.9129129     0.03177556     0.00683112
  -12.8728729     0.04696296     0.01150622
  -12.8328328     0.05932169     0.01695036
  -12.7927928     0.06836869     0.02078524
  -12.7527528     0.07869172     0.02103945
  -12.7127127     0.09177016     0.01827014
  -12.6726727     0.10058765     0.01580628
  -12.6326326     0.09658413     0.01705288
  -12.5925926     0.08021584     0.02246006
  -12.5525526     0.06179940     0.02945131
  -12.5125125     0.05099589     0.03474389
  -12.4724725     0.04666356     0.03631907
  -12.4324324     0.04077951     0.03371762
  -12.3923924     0.03125545     0.02745492
  -12.3523524     0.02464987     0.01925338
  -12.3123123     0.02700955     0.01237595
  -12.2722723     0.03753880     0.00997455
  -12.2322322     0.05030728     0.01286779
  -12.1921922     0.05914729     0.01937062
  -12.1521522     0.06190706     0.02638129
  -12.1121121     0.06009748     0.03024753
  -12.0720721     0.05426023     0.02864031
  -12.0320320     0.04363903     0.02303026
  -11.9919920     0.03130832     0.01764906
  -11.9519520     0.02417546     0.01515476
  -11.9119119     0.02666981     0.01478593
  -11.8718719     0.03869764     0.01464325
  -11.8318318     0.05875805     0.01397709
  -11.7917918     0.08271106     0.01335571
  -11.7517518     0.10086563     0.01434630
  -11.7117117     0.10630503     0.01878305
  -11.6716717     0.10580076     0.02642754
  -11.6316316     0.11155595     0.03353197
  -11.5915916     0.12508184     0.03616510
  -11.5515516     0.14055242     0.03541176
  -11.5115115     0.15609172     0.03622778
  -11.4714715     0.16934738     0.04017781
  -11.4314314     0.17249406     0.04322733
  -11.3913914     0.16127863     0.04245031
  -11.3513514     0.14060959     0.04078518
  -11.3113113     0.12003654     0.04285622
  -11.2712713     0.10878421     0.04882402
  -11.2312312     0.11063312     0.05387798
  -11.1911912     0.11908813     0.05303809
  -11.1511512     0.12033936     0.04617139
  -11.1111111     0.10719436     0.03815997
  -11.0710711     0.09217393     0.03404622
  -11.0310310     0.10184532     0.03399215
  -10.9909910     0.15268530     0.03339211
  -10.9509510     0.22878543     0.02852547
  -10.9109109     0.28666167     0.02080110
  -10.8708709     0.29568014     0.01423706
  -10.8308308     0.27504273     0.01133436
  -10.7907908     0.27442928     0.01346870
  -10.7507508     0.32175351     0.02258900
  -10.7107107     0.40942644     0.03947671
  -10.6706707     0.51641136     0.06023864
  -10.6306306     0.61039433     0.07620571
  -10.5905906     0.64031064     0.08002552
  -10.5505506     0.57124055     0.07273101
  -10.5105105     0.43344794     0.06292854
  -10.4704705     0.30679635     0.05846356
  -10.4304304     0.25937870     0.06074096
  -10.3903904     0.32140861     0.06815117
  -10.3503504     0.48704627     0.08055203
  -10.3103103     0.70128828     0.09575601
  -10.2702703     0.86910293     0.10703469
  -10.2302302     0.92425430     0.10998662
  -10.1901902     0.89299986     0.10806409
