#
#   partial DOS for atom species: Ni
#
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   3,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   4,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   5,  n,l,m,z=  3  2  2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  1
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  2
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -2  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2 -1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  0  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  1  3
#   Add data for atom_index =   6,  n,l,m,z=  3  2  2  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000001     0.00000002
  -18.6386386     0.00000016     0.00000022
  -18.5985986     0.00000139     0.00000185
  -18.5585586     0.00000873     0.00001107
  -18.5185185     0.00003982     0.00004820
  -18.4784785     0.00013204     0.00015248
  -18.4384384     0.00031824     0.00035059
  -18.3983984     0.00055744     0.00058579
  -18.3583584     0.00070969     0.00071133
  -18.3183183     0.00065668     0.00062773
  -18.2782783     0.00044162     0.00040259
  -18.2382382     0.00021586     0.00018764
  -18.1981982     0.00007668     0.00006356
  -18.1581582     0.00001980     0.00001564
  -18.1181181     0.00000371     0.00000280
  -18.0780781     0.00000051     0.00000036
  -18.0380380     0.00000006     0.00000005
  -17.9979980     0.00000014     0.00000021
  -17.9579580     0.00000152     0.00000212
  -17.9179179     0.00001209     0.00001608
  -17.8778779     0.00007003     0.00008881
  -17.8378378     0.00029604     0.00035821
  -17.7977978     0.00091789     0.00106118
  -17.7577578     0.00210841     0.00233493
  -17.7177177     0.00365663     0.00389552
  -17.6776777     0.00494039     0.00509196
  -17.6376376     0.00541135     0.00542105
  -17.5975976     0.00494894     0.00481696
  -17.5575576     0.00376711     0.00354072
  -17.5175175     0.00230899     0.00207935
  -17.4774775     0.00109573     0.00093981
  -17.4374374     0.00039104     0.00031834
  -17.3973974     0.00010317     0.00007958
  -17.3573574     0.00001994     0.00001456
  -17.3173173     0.00000281     0.00000195
  -17.2772773     0.00000032     0.00000025
  -17.2372372     0.00000054     0.00000083
  -17.1971972     0.00000567     0.00000843
  -17.1571572     0.00004501     0.00006326
  -17.1171171     0.00025951     0.00034469
  -17.0770771     0.00108686     0.00136450
  -17.0370370     0.00330684     0.00392405
  -16.9969970     0.00730926     0.00819825
  -16.9569570     0.01173702     0.01244330
  -16.9169169     0.01369201     0.01372079
  -16.8768769     0.01160387     0.01099139
  -16.8368368     0.00714437     0.00639670
  -16.7967968     0.00319557     0.00270450
  -16.7567568     0.00103838     0.00083070
  -16.7167167     0.00024512     0.00018536
  -16.6766767     0.00004204     0.00003005
  -16.6366366     0.00000524     0.00000354
  -16.5965966     0.00000047     0.00000030
  -16.5565566     0.00000003     0.00000002
  -16.5165165     0.00000000     0.00000000
  -16.4764765     0.00000000     0.00000000
  -16.4364364     0.00000000     0.00000000
  -16.3963964     0.00000000     0.00000000
  -16.3563564     0.00000000     0.00000000
  -16.3163163     0.00000000     0.00000000
  -16.2762763     0.00000000     0.00000000
  -16.2362362     0.00000000     0.00000000
  -16.1961962     0.00000000     0.00000001
  -16.1561562     0.00000003     0.00000016
  -16.1161161     0.00000037     0.00000161
  -16.0760761     0.00000331     0.00001148
  -16.0360360     0.00002135     0.00005932
  -15.9959960     0.00009992     0.00022252
  -15.9559560     0.00033957     0.00060641
  -15.9159159     0.00084059     0.00120609
  -15.8758759     0.00153611     0.00179272
  -15.8358358     0.00219401     0.00221819
  -15.7957958     0.00295059     0.00309079
  -15.7557558     0.00485684     0.00581515
  -15.7157157     0.00906827     0.01102672
  -15.6756757     0.01468027     0.01657157
  -15.6356356     0.01817801     0.01844657
  -15.5955956     0.01675479     0.01512795
  -15.5555556     0.01178223     0.00962526
  -15.5155155     0.00737138     0.00610747
  -15.4754755     0.00607575     0.00590191
  -15.4354354     0.00704342     0.00718831
  -15.3953954     0.00768244     0.00743597
  -15.3553554     0.00652950     0.00594334
  -15.3153153     0.00453882     0.00428229
  -15.2752753     0.00380401     0.00454512
  -15.2352352     0.00555000     0.00742939
  -15.1951952     0.00914919     0.01152091
  -15.1551552     0.01250903     0.01429606
  -15.1151151     0.01396334     0.01476225
  -15.0750751     0.01451731     0.01549643
  -15.0350350     0.01806917     0.02125919
  -14.9949950     0.02817953     0.03386889
  -14.9549550     0.04285182     0.04783086
  -14.9149149     0.05388604     0.05415022
  -14.8748749     0.05471270     0.04989751
  -14.8348348     0.04668684     0.03978293
  -14.7947948     0.03499837     0.02871281
  -14.7547548     0.02324840     0.01891090
  -14.7147147     0.01431206     0.01289061
  -14.6746747     0.01124512     0.01312660
  -14.6346346     0.01463441     0.01848562
  -14.5945946     0.02068411     0.02388725
  -14.5545546     0.02385291     0.02510867
  -14.5145145     0.02235692     0.02283139
  -14.4744745     0.01927158     0.02006044
  -14.4344344     0.01731006     0.01797833
  -14.3943944     0.01603139     0.01688656
  -14.3543544     0.01516570     0.01754608
  -14.3143143     0.01609245     0.01881394
  -14.2742743     0.01828408     0.01750773
  -14.2342342     0.01826994     0.01261215
  -14.1941942     0.01412316     0.00672706
  -14.1541542     0.00806748     0.00261937
  -14.1141141     0.00336147     0.00074182
  -14.0740741     0.00102611     0.00015700
  -14.0340340     0.00028352     0.00006115
  -13.9939940     0.00034228     0.00023428
  -13.9539540     0.00120991     0.00101848
  -13.9139139     0.00365028     0.00326228
  -13.8738739     0.00845364     0.00765234
  -13.8338338     0.01483890     0.01325338
  -13.7937938     0.01954304     0.01724221
  -13.7537538     0.01914607     0.01739478
  -13.7137137     0.01386381     0.01426315
  -13.6736737     0.00738794     0.00992801
  -13.6336336     0.00288958     0.00590475
  -13.5935936     0.00082824     0.00289332
  -13.5535536     0.00017385     0.00111240
  -13.5135135     0.00002687     0.00032382
  -13.4734735     0.00000532     0.00007275
  -13.4334334     0.00002529     0.00004221
  -13.3933934     0.00020064     0.00024254
  -13.3533534     0.00119556     0.00137801
  -13.3133133     0.00532882     0.00584965
  -13.2732733     0.01787961     0.01865133
  -13.2332332     0.04546225     0.04525227
  -13.1931932     0.08812393     0.08479754
  -13.1531532     0.13080269     0.12464248
  -13.1131131     0.14928033     0.14631640
