#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000000     0.00000000
  -18.1581582     0.00000000     0.00000000
  -18.1181181     0.00000000     0.00000000
  -18.0780781     0.00000000     0.00000000
  -18.0380380     0.00000006     0.00000002
  -17.9979980     0.00000109     0.00000032
  -17.9579580     0.00001358     0.00000465
  -17.9179179     0.00012308     0.00004842
  -17.8778779     0.00080956     0.00036614
  -17.8378378     0.00386434     0.00200911
  -17.7977978     0.01338588     0.00800044
  -17.7577578     0.03364857     0.02311931
  -17.7177177     0.06138097     0.04848270
  -17.6776777     0.08125468     0.07378191
  -17.6376376     0.07805678     0.08148245
  -17.5975976     0.05441522     0.06530245
  -17.5575576     0.02752819     0.03797921
  -17.5175175     0.01010608     0.01602926
  -17.4774775     0.00269237     0.00490944
  -17.4374374     0.00052052     0.00109119
  -17.3973974     0.00007308     0.00017602
  -17.3573574     0.00000847     0.00002088
  -17.3173173     0.00001449     0.00000604
  -17.2772773     0.00013654     0.00004858
  -17.2372372     0.00097802     0.00040035
  -17.1971972     0.00515486     0.00242536
  -17.1571572     0.02014998     0.01085027
  -17.1171171     0.05908007     0.03620731
  -17.0770771     0.13175905     0.09134875
  -17.0370370     0.22662721     0.17692287
  -16.9969970     0.30337281     0.26644127
  -16.9569570     0.31614013     0.31358832
  -16.9169169     0.25423739     0.28695863
  -16.8768769     0.15562819     0.20155784
  -16.8368368     0.07150339     0.10702285
  -16.7967968     0.02437600     0.04238387
  -16.7567568     0.00611532     0.01239402
  -16.7167167     0.00112293     0.00265815
  -16.6766767     0.00015130     0.00041654
  -16.6366366     0.00002752     0.00005091
  -16.5965966     0.00013313     0.00004536
  -16.5565566     0.00098447     0.00036542
  -16.5165165     0.00532426     0.00233648
  -16.4764765     0.02089788     0.01084865
  -16.4364364     0.05952648     0.03655613
  -16.3963964     0.12305025     0.08939517
  -16.3563564     0.18459472     0.15864890
  -16.3163163     0.20096503     0.20432867
  -16.2762763     0.15877649     0.19098128
  -16.2362362     0.09103668     0.12954526
  -16.1961962     0.03788010     0.06377076
  -16.1561562     0.01143853     0.02278195
  -16.1161161     0.00250665     0.00590649
  -16.0760761     0.00039864     0.00111132
  -16.0360360     0.00004601     0.00015175
  -15.9959960     0.00000385     0.00001504
  -15.9559560     0.00000023     0.00000108
  -15.9159159     0.00000001     0.00000006
  -15.8758759     0.00000000     0.00000000
  -15.8358358     0.00000000     0.00000000
  -15.7957958     0.00000000     0.00000000
  -15.7557558     0.00000001     0.00000002
  -15.7157157     0.00000021     0.00000038
  -15.6756757     0.00000286     0.00000525
  -15.6356356     0.00002768     0.00005289
  -15.5955956     0.00019539     0.00038773
  -15.5555556     0.00100855     0.00207137
  -15.5155155     0.00384204     0.00806982
  -15.4754755     0.01100922     0.02294553
  -15.4354354     0.02456376     0.04765678
  -15.3953954     0.04481167     0.07236339
  -15.3553554     0.06961858     0.08040052
  -15.3153153     0.09215707     0.06545075
  -15.2752753     0.10050580     0.03938275
  -15.2352352     0.08932414     0.01937955
  -15.1951952     0.07261059     0.01500539
  -15.1551552     0.07250728     0.02873240
  -15.1151151     0.09322764     0.05676655
  -15.0750751     0.11471611     0.08396203
  -15.0350350     0.11358062     0.08944597
  -14.9949950     0.08412054     0.06619475
  -14.9549550     0.03971151     0.02779233
  -14.9149149     0.00339442    -0.00552765
  -14.8748749    -0.00329678    -0.01662405
  -14.8348348     0.02447318     0.00670721
  -14.7947948     0.06555150     0.06180601
  -14.7547548     0.08846771     0.12634386
  -14.7147147     0.08428364     0.17543092
  -14.6746747     0.07900310     0.19650733
  -14.6346346     0.10814542     0.18638490
  -14.5945946     0.17897189     0.15418113
  -14.5545546     0.25687477     0.12586925
  -14.5145145     0.29306842     0.12196386
  -14.4744745     0.26872888     0.13039984
  -14.4344344     0.20904386     0.11968759
  -14.3943944     0.15848895     0.08010881
  -14.3543544     0.14296578     0.03448136
  -14.3143143     0.14909815     0.00656641
  -14.2742743     0.14413697    -0.00160667
  -14.2342342     0.11607283     0.00113829
  -14.1941942     0.08474362     0.01340538
  -14.1541542     0.07914752     0.04595398
  -14.1141141     0.11165972     0.11009859
  -14.0740741     0.16481330     0.19500004
  -14.0340340     0.20124528     0.26354367
  -13.9939940     0.19683597     0.29019679
  -13.9539540     0.16377996     0.29036327
  -13.9139139     0.14212903     0.28674814
  -13.8738739     0.17184734     0.27226925
  -13.8338338     0.25368405     0.23694534
  -13.7937938     0.32828154     0.19847440
  -13.7537538     0.32682110     0.17437633
  -13.7137137     0.25512017     0.15251737
  -13.6736737     0.19190480     0.11471508
  -13.6336336     0.19541063     0.06750163
  -13.5935936     0.23995195     0.03161266
  -13.5535536     0.25275814     0.01848624
  -13.5135135     0.19983395     0.02956318
  -13.4734735     0.11928041     0.06559335
  -13.4334334     0.07625611     0.12447250
  -13.3933934     0.10696413     0.19375991
  -13.3533534     0.19234765     0.25243373
  -13.3133133     0.26563728     0.27877708
  -13.2732733     0.26901787     0.26134626
  -13.2332332     0.21324909     0.21270389
  -13.1931932     0.15517931     0.16103826
  -13.1531532     0.12459319     0.12005878
  -13.1131131     0.10570307     0.08406645
  -13.0730731     0.07866753     0.04988591
  -13.0330330     0.04636556     0.02349807
  -12.9929930     0.02182353     0.00931011
  -12.9529530     0.01072199     0.00688180
  -12.9129129     0.01042938     0.01806757
  -12.8728729     0.01666390     0.05219838
  -12.8328328     0.02869037     0.11874487
  -12.7927928     0.05295247     0.20658202
  -12.7527528     0.09975581     0.27474972
  -12.7127127     0.16680625     0.28460085
  -12.6726727     0.22749224     0.24241657
  -12.6326326     0.25058776     0.19063382
  -12.5925926     0.23554950     0.16337578
  -12.5525526     0.21545721     0.16348429
  -12.5125125     0.21601569     0.16838335
  -12.4724725     0.22234096     0.15359328
  -12.4324324     0.20379999     0.12025431
  -12.3923924     0.15934246     0.09633788
  -12.3523524     0.11554461     0.10996601
  -12.3123123     0.09538490     0.16344562
  -12.2722723     0.10635904     0.22692514
  -12.2322322     0.14254365     0.26019869
  -12.1921922     0.18568974     0.24666822
  -12.1521522     0.21161257     0.20256678
  -12.1121121     0.20617255     0.15891104
  -12.0720721     0.18200138     0.14031143
  -12.0320320     0.17072346     0.14995049
  -11.9919920     0.18661817     0.16858356
  -11.9519520     0.21036501     0.17335582
  -11.9119119     0.21702004     0.16116509
  -11.8718719     0.20173502     0.15260569
  -11.8318318     0.17687574     0.16740574
  -11.7917918     0.16064331     0.19463786
  -11.7517518     0.16035236     0.19873356
  -11.7117117     0.16045979     0.16174776
  -11.6716717     0.14077607     0.10650933
  -11.6316316     0.10153595     0.07180234
  -11.5915916     0.05975513     0.07926240
  -11.5515516     0.03247028     0.12457909
  -11.5115115     0.02958443     0.18164204
  -11.4714715     0.05165622     0.21423899
  -11.4314314     0.08705656     0.20163777
  -11.3913914     0.11436898     0.15738118
  -11.3513514     0.11538463     0.11360766
  -11.3113113     0.09052206     0.08742024
  -11.2712713     0.05898596     0.07093559
  -11.2312312     0.04119094     0.05058942
  -11.1911912     0.04278710     0.02468552
  -11.1511512     0.05435067     0.00188137
  -11.1111111     0.06233114    -0.00821627
  -11.0710711     0.06027702    -0.00161173
  -11.0310310     0.05155257     0.01631756
  -10.9909910     0.04336623     0.03320779
  -10.9509510     0.04066131     0.03940472
  -10.9109109     0.04469947     0.03403746
  -10.8708709     0.05302206     0.02150829
  -10.8308308     0.05958342     0.00587179
  -10.7907908     0.05809113    -0.01109567
  -10.7507508     0.04664459    -0.02916156
  -10.7107107     0.02917415    -0.04768241
  -10.6706707     0.01369227    -0.06315692
  -10.6306306     0.00802103    -0.06965080
  -10.5905906     0.01375086    -0.06444643
  -10.5505506     0.02350262    -0.05222376
  -10.5105105     0.02623052    -0.04027674
  -10.4704705     0.01696858    -0.03071221
  -10.4304304     0.00106008    -0.02079904
  -10.3903904    -0.01156574    -0.01003500
  -10.3503504    -0.01504667    -0.00242924
  -10.3103103    -0.01068029    -0.00078914
  -10.2702703    -0.00398916    -0.00228286
  -10.2302302     0.00019010    -0.00171761
  -10.1901902     0.00080214     0.00271019
  -10.1501502     0.00039900     0.00862398
  -10.1101101     0.00270532     0.01290390
  -10.0700701     0.00874888     0.01433485
  -10.0300300     0.01488474     0.01373316
   -9.9899900     0.01673129     0.01277623
   -9.9499500     0.01418989     0.01282900
   -9.9099099     0.01062318     0.01406465
   -9.8698699     0.00904935     0.01496790
   -9.8298298     0.01074626     0.01349033
