#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   3,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000002     0.00000000
  -18.4784785     0.00000027     0.00000006
  -18.4384384     0.00000307     0.00000080
  -18.3983984     0.00002560     0.00000791
  -18.3583584     0.00015490     0.00005682
  -18.3183183     0.00068026     0.00029612
  -18.2782783     0.00216797     0.00111991
  -18.2382382     0.00501400     0.00307367
  -18.1981982     0.00841518     0.00612187
  -18.1581582     0.01024927     0.00884836
  -18.1181181     0.00905882     0.00928098
  -18.0780781     0.00581032     0.00706444
  -18.0380380     0.00270444     0.00390223
  -17.9979980     0.00091349     0.00156423
  -17.9579580     0.00022391     0.00045503
  -17.9179179     0.00003983     0.00009606
  -17.8778779     0.00000519     0.00001472
  -17.8378378     0.00000123     0.00000178
  -17.7977978     0.00000948     0.00000229
  -17.7577578     0.00008920     0.00002452
  -17.7177177     0.00063584     0.00020973
  -17.6776777     0.00345731     0.00136410
  -17.6376376     0.01443731     0.00677437
  -17.5975976     0.04634912     0.02567720
  -17.5575576     0.11380165     0.07390477
  -17.5175175     0.21170253     0.16022993
  -17.4774775     0.29523113     0.25937642
  -17.4374374     0.30570805     0.31101514
  -17.3973974     0.23329684     0.27450167
  -17.3573574     0.13050774     0.17749893
  -17.3173173     0.05332228     0.08381461
  -17.2772773     0.01587424     0.02883785
  -17.2372372     0.00343819     0.00721931
  -17.1971972     0.00054158     0.00131382
  -17.1571572     0.00006706     0.00017524
  -17.1171171     0.00006365     0.00003729
  -17.0770771     0.00048108     0.00019788
  -17.0370370     0.00286653     0.00136199
  -16.9969970     0.01240312     0.00684280
  -16.9569570     0.03894600     0.02495019
  -16.9169169     0.08874647     0.06602015
  -16.8768769     0.14675589     0.12677719
  -16.8368368     0.17611496     0.17667201
  -16.7967968     0.15337450     0.17867196
  -16.7567568     0.09693180     0.13113152
  -16.7167167     0.04445653     0.06984249
  -16.6766767     0.01479657     0.02699568
  -16.6366366     0.00357390     0.00757235
  -16.5965966     0.00062644     0.00154145
  -16.5565566     0.00007968     0.00022771
  -16.5165165     0.00000736     0.00002441
  -16.4764765     0.00000049     0.00000190
  -16.4364364     0.00000002     0.00000011
  -16.3963964     0.00000000     0.00000000
  -16.3563564     0.00000000     0.00000000
  -16.3163163     0.00000006     0.00000008
  -16.2762763     0.00000087     0.00000123
  -16.2362362     0.00000923     0.00001319
  -16.1961962     0.00007085     0.00010230
  -16.1561562     0.00039479     0.00057595
  -16.1161161     0.00159643     0.00235313
  -16.0760761     0.00468475     0.00697682
  -16.0360360     0.00997636     0.01501141
  -15.9959960     0.01541724     0.02343888
  -15.9559560     0.01728986     0.02655852
  -15.9159159     0.01407227     0.02183878
  -15.8758759     0.00832710     0.01303624
  -15.8358358     0.00371488     0.00569598
  -15.7957958     0.00211358     0.00219980
  -15.7557558     0.00508215     0.00292391
  -15.7157157     0.01712993     0.01099203
  -15.6756757     0.04476242     0.03475143
  -15.6356356     0.08719380     0.08067907
  -15.5955956     0.12591066     0.13525870
  -15.5555556     0.13151291     0.15951533
  -15.5155155     0.09171062     0.12404632
  -15.4754755     0.03068690     0.05063296
  -15.4354354    -0.01106706    -0.00657246
  -15.3953954    -0.01448133    -0.01837194
  -15.3553554     0.01177066     0.00546427
  -15.3153153     0.05058018     0.04422080
  -15.2752753     0.08356087     0.07936757
  -15.2352352     0.09264640     0.09347617
  -15.1951952     0.07505724     0.08310631
  -15.1551552     0.05055350     0.06825497
  -15.1151151     0.04420631     0.07247655
  -15.0750751     0.06467481     0.09400307
  -15.0350350     0.09633922     0.10594706
  -14.9949950     0.11085796     0.08914044
  -14.9549550     0.09551790     0.05668555
  -14.9149149     0.06985003     0.03985481
  -14.8748749     0.06822853     0.06102696
  -14.8348348     0.10902884     0.12147416
  -14.7947948     0.17771001     0.19787455
  -14.7547548     0.23586533     0.25207956
  -14.7147147     0.25357482     0.25910689
  -14.6746747     0.23293133     0.22550946
  -14.6346346     0.20089416     0.18280681
  -14.5945946     0.18730593     0.16613252
  -14.5545546     0.20091559     0.18549913
  -14.5145145     0.21958620     0.21527873
  -14.4744745     0.21355443     0.22233488
  -14.4344344     0.17836723     0.20130436
  -14.3943944     0.14160349     0.17832910
  -14.3543544     0.13896439     0.18194580
  -14.3143143     0.17879440     0.20974936
  -14.2742743     0.23040629     0.23042983
  -14.2342342     0.25420131     0.21978667
  -14.1941942     0.23786770     0.18396359
  -14.1541542     0.19901050     0.15043632
  -14.1141141     0.16416446     0.14373187
  -14.0740741     0.15112030     0.16348763
  -14.0340340     0.16251463     0.18231066
  -13.9939940     0.18463869     0.17139272
  -13.9539540     0.19531226     0.13379034
  -13.9139139     0.18797055     0.10700942
  -13.8738739     0.18225956     0.12464185
  -13.8338338     0.19332855     0.17719152
  -13.7937938     0.20153722     0.21634532
  -13.7537538     0.17755873     0.20483040
  -13.7137137     0.13030368     0.16051168
  -13.6736737     0.10404670     0.13793856
  -13.6336336     0.13095972     0.16646452
  -13.5935936     0.19943126     0.21828651
  -13.5535536     0.26402042     0.24168148
  -13.5135135     0.28463654     0.21888732
  -13.4734735     0.25721932     0.17470092
  -13.4334334     0.20348567     0.13259299
  -13.3933934     0.14411221     0.09325839
  -13.3533534     0.09331769     0.05557074
  -13.3133133     0.06120596     0.02717646
  -13.2732733     0.04661122     0.01185812
  -13.2332332     0.03791444     0.00467274
  -13.1931932     0.02686676     0.00038560
  -13.1531532     0.01554646    -0.00085356
  -13.1131131     0.01081160     0.00509269
  -13.0730731     0.01921406     0.02306114
  -13.0330330     0.04512750     0.05361251
  -12.9929930     0.08397543     0.08784369
  -12.9529530     0.11840923     0.11412028
  -12.9129129     0.13431363     0.13414229
  -12.8728729     0.14006814     0.16003125
  -12.8328328     0.15608815     0.19185821
  -12.7927928     0.18697789     0.21201100
  -12.7527528     0.21292105     0.20385269
  -12.7127127     0.20783864     0.16863728
  -12.6726727     0.16672597     0.12491291
  -12.6326326     0.11378314     0.09257720
  -12.5925926     0.07916751     0.07817200
  -12.5525526     0.07279050     0.07643229
  -12.5125125     0.08364557     0.08014009
  -12.4724725     0.09556288     0.08493835
  -12.4324324     0.09988102     0.08900563
  -12.3923924     0.09840943     0.09195146
  -12.3523524     0.09601170     0.09442602
  -12.3123123     0.09260680     0.09550501
  -12.2722723     0.08652654     0.09060429
  -12.2322322     0.08009378     0.07895737
  -12.1921922     0.07720819     0.07120667
  -12.1521522     0.08114089     0.07941239
  -12.1121121     0.09343473     0.09890581
  -12.0720721     0.10726919     0.10835302
  -12.0320320     0.10732686     0.09249237
  -11.9919920     0.08555222     0.05802934
  -11.9519520     0.05086594     0.02173650
  -11.9119119     0.01667897    -0.00712252
  -11.8718719    -0.01184526    -0.02671922
  -11.8318318    -0.03241161    -0.03507622
  -11.7917918    -0.03896507    -0.03031551
  -11.7517518    -0.02874616    -0.01591493
  -11.7117117    -0.00866528    -0.00131276
  -11.6716717     0.01122633     0.00409749
  -11.6316316     0.02496620    -0.00159570
  -11.5915916     0.02888189    -0.01258899
  -11.5515516     0.01913244    -0.02415858
  -11.5115115    -0.00460470    -0.03703314
  -11.4714715    -0.03502974    -0.05129391
  -11.4314314    -0.06109607    -0.06330960
  -11.3913914    -0.07709073    -0.07065558
  -11.3513514    -0.08502176    -0.07386138
  -11.3113113    -0.08795919    -0.07292988
  -11.2712713    -0.08473023    -0.06703497
  -11.2312312    -0.07283457    -0.05656995
  -11.1911912    -0.05416427    -0.04265114
  -11.1511512    -0.03480865    -0.02744285
  -11.1111111    -0.01995773    -0.01541025
  -11.0710711    -0.01070344    -0.01040921
  -11.0310310    -0.00494414    -0.01204660
  -10.9909910    -0.00049192    -0.01708020
  -10.9509510     0.00350240    -0.02249066
  -10.9109109     0.00842547    -0.02526956
  -10.8708709     0.01649614    -0.02156120
