#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   2,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   2,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388    -0.00000000     0.00000000
  -18.7987988    -0.00000000     0.00000000
  -18.7587588    -0.00000000    -0.00000000
  -18.7187187    -0.00000000    -0.00000000
  -18.6786787    -0.00000001    -0.00000000
  -18.6386386    -0.00000006    -0.00000000
  -18.5985986    -0.00000036    -0.00000003
  -18.5585586    -0.00000153    -0.00000017
  -18.5185185    -0.00000475    -0.00000080
  -18.4784785    -0.00001073    -0.00000268
  -18.4384384    -0.00001758    -0.00000655
  -18.3983984    -0.00002091    -0.00001160
  -18.3583584    -0.00001804    -0.00001491
  -18.3183183    -0.00001131    -0.00001391
  -18.2782783    -0.00000547    -0.00000942
  -18.2382382    -0.00000771    -0.00000470
  -18.1981982    -0.00007955    -0.00000314
  -18.1581582    -0.00075518    -0.00002281
  -18.1181181    -0.00523170    -0.00024326
  -18.0780781    -0.02634684    -0.00191822
  -18.0380380    -0.09666595    -0.01099155
  -17.9979980    -0.25981142    -0.04581686
  -17.9579580    -0.51803467    -0.13940384
  -17.9179179    -0.78715621    -0.31208080
  -17.8778779    -0.95686261    -0.52327471
  -17.8378378    -0.98928736    -0.68102157
  -17.7977978    -0.89839084    -0.72802218
  -17.7577578    -0.69602330    -0.67495533
  -17.7177177    -0.43282743    -0.54584752
  -17.6776777    -0.20555204    -0.36673246
  -17.6376376    -0.07249375    -0.19296362
  -17.5975976    -0.01874336    -0.07641998
  -17.5575576    -0.00360161    -0.02232029
  -17.5175175    -0.00116281    -0.00477975
  -17.4774775    -0.00468292    -0.00092759
  -17.4374374    -0.02298071    -0.00160043
  -17.3973974    -0.08295716    -0.00890285
  -17.3573574    -0.21899429    -0.03793974
  -17.3173173    -0.42617125    -0.11794913
  -17.2772773    -0.62115360    -0.26863115
  -17.2372372    -0.69708890    -0.45267289
  -17.1971972    -0.62624190    -0.57501593
  -17.1571572    -0.46671147    -0.56778023
  -17.1171171    -0.29079748    -0.45316471
  -17.0770771    -0.14749393    -0.30100253
  -17.0370370    -0.05849251    -0.16597166
  -16.9969970    -0.01754785    -0.07357383
  -16.9569570    -0.00390203    -0.02522610
  -16.9169169    -0.00063617    -0.00649865
  -16.8768769    -0.00007564    -0.00123646
  -16.8368368    -0.00000654    -0.00017218
  -16.7967968    -0.00000041    -0.00001747
  -16.7567568    -0.00000002    -0.00000129
  -16.7167167    -0.00000000    -0.00000007
  -16.6766767    -0.00000002    -0.00000000
  -16.6366366    -0.00000034    -0.00000000
  -16.5965966    -0.00000533    -0.00000002
  -16.5565566    -0.00006031    -0.00000045
  -16.5165165    -0.00049940    -0.00000665
  -16.4764765    -0.00303720    -0.00007222
  -16.4364364    -0.01365178    -0.00057368
  -16.3963964    -0.04574519    -0.00334481
  -16.3563564    -0.11549034    -0.01440332
  -16.3163163    -0.22210598    -0.04620031
  -16.2762763    -0.32814975    -0.11156765
  -16.2362362    -0.37357281    -0.20513743
  -16.1961962    -0.32665098    -0.28980375
  -16.1561562    -0.21875853    -0.31573104
  -16.1161161    -0.11719790    -0.26458519
  -16.0760761    -0.07059714    -0.17030136
  -16.0360360    -0.08867751    -0.08907563
  -15.9959960    -0.15169445    -0.05689689
  -15.9559560    -0.21808269    -0.07916512
  -15.9159159    -0.24121905    -0.13880260
  -15.8758759    -0.20395378    -0.19943166
  -15.8358358    -0.13387215    -0.21962844
  -15.7957958    -0.07369299    -0.18450565
  -15.7557558    -0.03913284    -0.11863650
  -15.7157157    -0.00973100    -0.05915102
  -15.6756757     0.03895745    -0.02003227
  -15.6356356     0.09617326     0.01452483
  -15.5955956     0.12300410     0.06412755
  -15.5555556     0.10284440     0.11968462
  -15.5155155     0.06174359     0.14568802
  -15.4754755     0.03606349     0.12369200
  -15.4354354     0.04515259     0.07745955
  -15.3953954     0.09115160     0.04589911
  -15.3553554     0.15545861     0.05103815
  -15.3153153     0.19467460     0.09470192
  -15.2752753     0.16849062     0.15990097
  -15.2352352     0.07877328     0.20634641
  -15.1951952    -0.03196137     0.18859604
  -15.1551552    -0.11349009     0.10008001
  -15.1151151    -0.13607757    -0.01015297
  -15.0750751    -0.10641093    -0.07965029
  -15.0350350    -0.05894950    -0.08682445
  -14.9949950    -0.02355956    -0.05716887
  -14.9549550    -0.00682284    -0.02593379
  -14.9149149    -0.00143335    -0.00839165
  -14.8748749    -0.00021850    -0.00195873
  -14.8348348    -0.00002417    -0.00033108
  -14.7947948    -0.00000194    -0.00004058
  -14.7547548    -0.00000017    -0.00000361
  -14.7147147    -0.00000114    -0.00000026
  -14.6746747    -0.00001740    -0.00000052
  -14.6346346    -0.00019405    -0.00000837
  -14.5945946    -0.00157051    -0.00009900
  -14.5545546    -0.00922399    -0.00084982
  -14.5145145    -0.03931364    -0.00529390
  -14.4744745    -0.12159485    -0.02393169
  -14.4344344    -0.27291947    -0.07850884
  -14.3943944    -0.44453017    -0.18690081
  -14.3543544    -0.52542974    -0.32288746
  -14.3143143    -0.45067457    -0.40479820
  -14.2742743    -0.28037791    -0.36827596
  -14.2342342    -0.12549281    -0.24313947
  -14.1941942    -0.03453851    -0.11648782
  -14.1541542     0.01928884    -0.04048253
  -14.1141141     0.08761563    -0.01002765
  -14.0740741     0.20323206    -0.00041216
  -14.0340340     0.35225918     0.00785833
  -13.9939940     0.47933370     0.03280376
  -13.9539540     0.53166770     0.09734287
  -13.9139139     0.49024748     0.21370630
  -13.8738739     0.37010775     0.35525657
  -13.8338338     0.21508150     0.46551921
  -13.7937938     0.06981182     0.50660633
  -13.7537538    -0.05924987     0.47136315
  -13.7137137    -0.18719667     0.35932211
  -13.6736737    -0.29250590     0.19053355
  -13.6336336    -0.31604579     0.02552574
  -13.5935936    -0.23409724    -0.07294310
  -13.5535536    -0.09525375    -0.09108580
  -13.5135135     0.02982220    -0.06343990
  -13.4734735     0.10272628    -0.03068152
  -13.4334334     0.12312748    -0.00696441
  -13.3933934     0.11251308     0.01751673
  -13.3533534     0.09336847     0.05362707
  -13.3133133     0.07367673     0.09524354
  -13.2732733     0.05241350     0.12242436
  -13.2332332     0.03456608     0.12288944
  -13.1931932     0.03544958     0.10550135
  -13.1531532     0.07755980     0.08731102
  -13.1131131     0.18059676     0.07346150
  -13.0730731     0.33212597     0.05801928
  -13.0330330     0.46461222     0.03925714
  -12.9929930     0.49849539     0.02582518
  -12.9529530     0.42645910     0.03282969
  -12.9129129     0.32098557     0.07920326
  -12.8728729     0.24860235     0.17989407
  -12.8328328     0.21384133     0.32300162
  -12.7927928     0.18843686     0.45613319
  -12.7527528     0.15738888     0.51887907
  -12.7127127     0.12701425     0.49804936
  -12.6726727     0.10797593     0.43212058
  -12.6326326     0.10497267     0.35758926
  -12.5925926     0.12146959     0.27890819
  -12.5525526     0.16802785     0.19821334
  -12.5125125     0.26043297     0.14005293
  -12.4724725     0.40063701     0.12435626
  -12.4324324     0.56147076     0.13445695
  -12.3923924     0.70077440     0.13610317
  -12.3523524     0.78105913     0.12396216
  -12.3123123     0.77231483     0.13283688
  -12.2722723     0.67150319     0.20710165
  -12.2322322     0.52885684     0.36945793
  -12.1921922     0.40918175     0.59885542
  -12.1521522     0.32299908     0.81672691
  -12.1121121     0.24130383     0.92225137
  -12.0720721     0.16259099     0.87972523
  -12.0320320     0.11439389     0.75394015
  -11.9919920     0.10429947     0.63004863
  -11.9519520     0.11157963     0.52576343
  -11.9119119     0.12058295     0.41075692
  -11.8718719     0.13049329     0.28065061
  -11.8318318     0.13169023     0.17174027
  -11.7917918     0.10568328     0.11596406
  -11.7517518     0.05972815     0.11301823
  -11.7117117     0.03352332     0.13715100
  -11.6716717     0.05790765     0.15290121
  -11.6316316     0.12327233     0.14068583
  -11.5915916     0.19303188     0.11257692
  -11.5515516     0.23781936     0.08663178
  -11.5115115     0.25455445     0.06356337
  -11.4714715     0.25318810     0.04363003
  -11.4314314     0.23584301     0.03433367
  -11.3913914     0.20791271     0.03367415
  -11.3513514     0.19891171     0.03377362
  -11.3113113     0.24100448     0.03917828
  -11.2712713     0.32630973     0.06446073
  -11.2312312     0.41444962     0.11685930
  -11.1911912     0.48475125     0.18741280
  -11.1511512     0.54550957     0.25664427
  -11.1111111     0.58704037     0.30669591
  -11.0710711     0.57158854     0.32967583
  -11.0310310     0.48710204     0.32693780
  -10.9909910     0.37629132     0.30434198
  -10.9509510     0.29883914     0.27122500
  -10.9109109     0.28413648     0.23879563
  -10.8708709     0.31630316     0.21422255
  -10.8308308     0.35045528     0.19795508
