#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000000     0.00000000
  -18.4784785     0.00000000     0.00000000
  -18.4384384     0.00000000     0.00000000
  -18.3983984     0.00000000     0.00000000
  -18.3583584     0.00000000     0.00000000
  -18.3183183     0.00000000     0.00000000
  -18.2782783     0.00000000     0.00000000
  -18.2382382     0.00000000     0.00000000
  -18.1981982     0.00000001     0.00000000
  -18.1581582     0.00000010     0.00000008
  -18.1181181     0.00000145     0.00000114
  -18.0780781     0.00001518     0.00001234
  -18.0380380     0.00011600     0.00009726
  -17.9979980     0.00064573     0.00055778
  -17.9579580     0.00261901     0.00232907
  -17.9179179     0.00774302     0.00708323
  -17.8778779     0.01669458     0.01569487
  -17.8378378     0.02626219     0.02534574
  -17.7977978     0.03015556     0.02984096
  -17.7577578     0.02528479     0.02562184
  -17.7177177     0.01548665     0.01604772
  -17.6776777     0.00693077     0.00733363
  -17.6376376     0.00226680     0.00244570
  -17.5975976     0.00054187     0.00059527
  -17.5575576     0.00009467     0.00010575
  -17.5175175     0.00001211     0.00001372
  -17.4774775     0.00000149     0.00000153
  -17.4374374     0.00000562     0.00000384
  -17.3973974     0.00006163     0.00004351
  -17.3573574     0.00050043     0.00036856
  -17.3173173     0.00297087     0.00228370
  -17.2772773     0.01292684     0.01037629
  -17.2372372     0.04141029     0.03471877
  -17.1971972     0.09842915     0.08617274
  -17.1571572     0.17589470     0.16057716
  -17.1171171     0.24114446     0.22878661
  -17.0770771     0.26032750     0.25515375
  -17.0370370     0.22672605     0.22774862
  -16.9969970     0.16089819     0.16437222
  -16.9569570     0.09208462     0.09515524
  -16.9169169     0.04152466     0.04326537
  -16.8768769     0.01440424     0.01509675
  -16.8368368     0.00377527     0.00396918
  -16.7967968     0.00073934     0.00077690
  -16.7567568     0.00010921     0.00011319
  -16.7167167     0.00003251     0.00002258
  -16.6766767     0.00018276     0.00010251
  -16.6366366     0.00116607     0.00071753
  -16.5965966     0.00558614     0.00377519
  -16.5565566     0.02029225     0.01497453
  -16.5165165     0.05686760     0.04539283
  -16.4764765     0.12489765     0.10649870
  -16.4364364     0.21697566     0.19496202
  -16.3963964     0.29865008     0.27917335
  -16.3563564     0.32580352     0.31326206
  -16.3163163     0.28448096     0.27938490
  -16.2762763     0.20412958     0.20710847
  -16.2362362     0.12468354     0.13784047
  -16.1961962     0.06672435     0.08723060
  -16.1561562     0.03356175     0.05257717
  -16.1161161     0.02067137     0.03208356
  -16.0760761     0.01869953     0.02370827
  -16.0360360     0.01778576     0.02040897
  -15.9959960     0.01351625     0.01577986
  -15.9559560     0.00764996     0.00943837
  -15.9159159     0.00355546     0.00437292
  -15.8758759     0.00342566     0.00279824
  -15.8358358     0.01039246     0.00695383
  -15.7957958     0.03060857     0.02192890
  -15.7557558     0.06859902     0.05308489
  -15.7157157     0.11841729     0.09684046
  -15.6756757     0.16479102     0.13857831
  -15.6356356     0.19613852     0.16743913
  -15.5955956     0.21005211     0.18634617
  -15.5555556     0.20691877     0.19992536
  -15.5155155     0.18682422     0.20392287
  -15.4754755     0.15310522     0.19153689
  -15.4354354     0.11510703     0.16204617
  -15.3953954     0.08345183     0.12342832
  -15.3553554     0.06152219     0.08729781
  -15.3153153     0.04549838     0.05953830
  -15.2752753     0.03283407     0.03952295
  -15.2352352     0.02657543     0.02736613
  -15.1951952     0.02959064     0.02495274
  -15.1551552     0.03713274     0.02959510
  -15.1151151     0.03966684     0.03296662
  -15.0750751     0.03421651     0.02948293
  -15.0350350     0.02941090     0.02287055
  -14.9949950     0.03862460     0.02265357
  -14.9549550     0.07013261     0.03811591
  -14.9149149     0.11816770     0.07518983
  -14.8748749     0.15883601     0.12822889
  -14.8348348     0.16678166     0.17243194
  -14.7947948     0.14296031     0.18097305
  -14.7547548     0.11247359     0.15402007
  -14.7147147     0.09469979     0.11480529
  -14.6746747     0.09037052     0.08160916
  -14.6346346     0.09049882     0.06090741
  -14.5945946     0.08347048     0.05630375
  -14.5545546     0.06171931     0.06428163
  -14.5145145     0.03022972     0.06832188
  -14.4744745     0.00225735     0.05360606
  -14.4344344    -0.01431962     0.02472302
  -14.3943944    -0.02139959    -0.00168978
  -14.3543544    -0.02415696    -0.01654802
  -14.3143143    -0.02500599    -0.02209167
  -14.2742743    -0.02346457    -0.02252241
  -14.2342342    -0.01891639    -0.01909257
  -14.1941942    -0.01191375    -0.01233515
  -14.1541542    -0.00389328    -0.00421908
  -14.1141141     0.00311830     0.00251065
  -14.0740741     0.00812558     0.00591847
  -14.0340340     0.01430124     0.00610932
  -13.9939940     0.02875542     0.00589981
  -13.9539540     0.05540262     0.01074762
  -13.9139139     0.08736326     0.02718166
  -13.8738739     0.10993688     0.05749841
  -13.8338338     0.11137421     0.09313806
  -13.7937938     0.08907336     0.11761134
  -13.7537538     0.05103555     0.11908625
  -13.7137137     0.01327805     0.09673469
  -13.6736737    -0.01158502     0.05866183
  -13.6336336    -0.02307754     0.01888864
  -13.5935936    -0.02706758    -0.00998498
  -13.5535536    -0.02674338    -0.02410001
  -13.5135135    -0.02219740    -0.02648873
  -13.4734735    -0.01345504    -0.02173772
  -13.4334334    -0.00054406    -0.01393512
  -13.3933934     0.01645250    -0.00626821
  -13.3533534     0.03442336    -0.00058746
  -13.3133133     0.04694609     0.00274597
  -13.2732733     0.05213569     0.00488652
  -13.2332332     0.05780160     0.00952597
  -13.1931932     0.06958792     0.02450799
  -13.1531532     0.07678839     0.05819980
  -13.1131131     0.06339583     0.10559912
  -13.0730731     0.03179526     0.13929081
  -13.0330330     0.00070227     0.13073344
  -12.9929930    -0.01776769     0.08374395
  -12.9529530    -0.02512402     0.03014865
  -12.9129129    -0.02597882    -0.00519848
  -12.8728729    -0.02292641    -0.01934784
  -12.8328328    -0.01810801    -0.02033745
  -12.7927928    -0.01142772    -0.01697270
  -12.7527528     0.00115779    -0.01563946
  -12.7127127     0.02287974    -0.01825623
  -12.6726727     0.05028796    -0.02198269
  -12.6326326     0.07374404    -0.02245615
  -12.5925926     0.08253987    -0.01703327
  -12.5525526     0.07169029    -0.00331702
  -12.5125125     0.04755646     0.02352807
  -12.4724725     0.02362542     0.06575494
  -12.4324324     0.00866549     0.11425101
  -12.3923924     0.00232660     0.15134236
  -12.3523524     0.00045265     0.16323880
  -12.3123123     0.00004981     0.14589854
  -12.2722723    -0.00004603     0.10583406
  -12.2322322    -0.00005955     0.05990733
  -12.1921922     0.00054427     0.02494563
  -12.1521522     0.00401217     0.00527694
  -12.1121121     0.01490813    -0.00508696
  -12.0720721     0.03639307    -0.01160916
  -12.0320320     0.06193335    -0.01404265
  -11.9919920     0.07452063    -0.00922032
  -11.9519520     0.06258545     0.00414212
  -11.9119119     0.03414380     0.02381208
  -11.8718719     0.00754047     0.04689038
  -11.8318318    -0.00695008     0.07472848
  -11.7917918    -0.01058565     0.11059962
  -11.7517518    -0.00833663     0.14567358
  -11.7117117    -0.00424969     0.15552544
  -11.6716717    -0.00161512     0.12557452
  -11.6316316    -0.00253856     0.07267372
  -11.5915916    -0.00621105     0.02707966
  -11.5515516    -0.00934104     0.00191962
  -11.5115115    -0.00940394    -0.00914474
  -11.4714715    -0.00683245    -0.01463700
  -11.4314314    -0.00370111    -0.01618031
  -11.3913914    -0.00161456    -0.01169784
  -11.3513514    -0.00132141     0.00063142
  -11.3113113    -0.00264452     0.02067935
  -11.2712713    -0.00382758     0.04253931
  -11.2312312    -0.00243066     0.05401562
  -11.1911912     0.00157529     0.04701755
  -11.1511512     0.00485259     0.02688086
  -11.1111111     0.00463663     0.00617149
  -11.0710711     0.00195674    -0.00723534
  -11.0310310    -0.00066961    -0.01313026
  -10.9909910    -0.00254145    -0.01500908
  -10.9509510    -0.00436292    -0.01602802
  -10.9109109    -0.00631381    -0.01679094
  -10.8708709    -0.00787752    -0.01553673
  -10.8308308    -0.00881281    -0.01089760
  -10.7907908    -0.00922703    -0.00423450
  -10.7507508    -0.00895272     0.00152798
  -10.7107107    -0.00773916     0.00420457
  -10.6706707    -0.00630359     0.00248134
  -10.6306306    -0.00665995    -0.00426181
  -10.5905906    -0.01042800    -0.01426555
  -10.5505506    -0.01628496    -0.02299675
  -10.5105105    -0.02002008    -0.02684309
  -10.4704705    -0.01844976    -0.02641718
  -10.4304304    -0.01267972    -0.02453175
  -10.3903904    -0.00638685    -0.02236577
  -10.3503504    -0.00211703    -0.01919266
  -10.3103103    -0.00019259    -0.01448663
  -10.2702703     0.00022297    -0.00923116
  -10.2302302    -0.00004527    -0.00616726
  -10.1901902    -0.00054864    -0.00907471
  -10.1501502    -0.00065953    -0.02002048
  -10.1101101     0.00071410    -0.03553235
  -10.0700701     0.00414737    -0.04700407
  -10.0300300     0.00842171    -0.04784960
   -9.9899900     0.01066934    -0.03936549
   -9.9499500     0.00868501    -0.02769676
   -9.9099099     0.00364169    -0.01725609
   -9.8698699    -0.00061138    -0.00883359
   -9.8298298    -0.00157163    -0.00201181
   -9.7897898    -0.00011147     0.00256545
   -9.7497497     0.00149494     0.00336019
   -9.7097097     0.00200728    -0.00018636
   -9.6696697     0.00160052    -0.00662153
