#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   4,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   5,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592    -0.00000001     0.00000000
  -19.1191191    -0.00000032     0.00000000
  -19.0790791    -0.00000515    -0.00000000
  -19.0390390    -0.00006049    -0.00000004
  -18.9989990    -0.00051532    -0.00000079
  -18.9589590    -0.00318592    -0.00001132
  -18.9189189    -0.01429361    -0.00011848
  -18.8788789    -0.04653684    -0.00089959
  -18.8388388    -0.10995103    -0.00495683
  -18.7987988    -0.18851638    -0.01982032
  -18.7587588    -0.23455586    -0.05751286
  -18.7187187    -0.21178289    -0.12110627
  -18.6786787    -0.13876593    -0.18506132
  -18.6386386    -0.06598151    -0.20521642
  -18.5985986    -0.02276731    -0.16514139
  -18.5585586    -0.00570329    -0.09643778
  -18.5185185    -0.00106530    -0.04086841
  -18.4784785    -0.00039845    -0.01257109
  -18.4384384    -0.00170686    -0.00283978
  -18.3983984    -0.00795975    -0.00075715
  -18.3583584    -0.02722889    -0.00195819
  -18.3183183    -0.06833375    -0.00869899
  -18.2782783    -0.12874710    -0.02882826
  -18.2382382    -0.19414591    -0.06965258
  -18.1981982    -0.26600467    -0.12422389
  -18.1581582    -0.36863488    -0.17179953
  -18.1181181    -0.48813293    -0.21374279
  -18.0780781    -0.53796864    -0.29817592
  -18.0380380    -0.45254303    -0.45862536
  -17.9979980    -0.28081733    -0.62162911
  -17.9579580    -0.12709922    -0.64811673
  -17.9179179    -0.04181324    -0.49769594
  -17.8778779    -0.01002132    -0.27834879
  -17.8378378    -0.00204546    -0.11307355
  -17.7977978    -0.00224219    -0.03341022
  -17.7577578    -0.00954332    -0.00776993
  -17.7177177    -0.03283154    -0.00511636
  -17.6776777    -0.08328213    -0.01844189
  -17.6376376    -0.15677076    -0.06076360
  -17.5975976    -0.22396008    -0.14630215
  -17.5575576    -0.25943408    -0.25610598
  -17.5175175    -0.28374899    -0.32802249
  -17.4774775    -0.33992550    -0.31784390
  -17.4374374    -0.41366224    -0.26936137
  -17.3973974    -0.42600508    -0.27902912
  -17.3573574    -0.33505760    -0.37863621
  -17.3173173    -0.19417664    -0.48127166
  -17.2772773    -0.08200937    -0.47190594
  -17.2372372    -0.02499688    -0.33984878
  -17.1971972    -0.00450392    -0.17797894
  -17.1571572     0.00382224    -0.06746098
  -17.1171171     0.01415860    -0.01763528
  -17.0770771     0.02993054    -0.00067801
  -17.0370370     0.04243288     0.00423631
  -16.9969970     0.03772085    -0.00162745
  -16.9569570     0.01569496    -0.02754317
  -16.9169169    -0.00584023    -0.07138403
  -16.8768769    -0.01299974    -0.10674841
  -16.8368368    -0.00917145    -0.10616901
  -16.7967968    -0.00385073    -0.07352360
  -16.7567568    -0.00107200    -0.03616078
  -16.7167167    -0.00019332    -0.01275465
  -16.6766767     0.00009208    -0.00324239
  -16.6366366     0.00079288    -0.00058710
  -16.5965966     0.00382641    -0.00000424
  -16.5565566     0.01335649     0.00044320
  -16.5165165     0.03383142     0.00196333
  -16.4764765     0.06218639     0.00620761
  -16.4364364     0.08295024     0.01423934
  -16.3963964     0.08029409     0.02370284
  -16.3563564     0.05639128     0.02863244
  -16.3163163     0.02861330     0.02509939
  -16.2762763     0.00947862     0.01596587
  -16.2362362    -0.00414875     0.00735707
  -16.1961962    -0.03019987     0.00231307
  -16.1561562    -0.09793009    -0.00068575
  -16.1161161    -0.22663670    -0.00757881
  -16.0760761    -0.38034124    -0.03330989
  -16.0360360    -0.46318008    -0.10486112
  -15.9959960    -0.40932971    -0.23946210
  -15.9559560    -0.26251077    -0.39682731
  -15.9159159    -0.12218795    -0.47721453
  -15.8758759    -0.04138266    -0.41646099
  -15.8358358    -0.01069583    -0.26375674
  -15.7957958    -0.00381138    -0.12132787
  -15.7557558    -0.00527282    -0.04113789
  -15.7157157    -0.00923127    -0.01289157
  -15.6756757    -0.01267688    -0.01153481
  -15.6356356    -0.01582079    -0.02271916
  -15.5955956    -0.02934977    -0.03747379
  -15.5555556    -0.08096494    -0.04554263
  -15.5155155    -0.20265497    -0.04242997
  -15.4754755    -0.38240533    -0.04085025
  -15.4354354    -0.52769032    -0.07383879
  -15.3953954    -0.53288546    -0.18285495
  -15.3553554    -0.40042244    -0.37459547
  -15.3153153    -0.23596491    -0.56725569
  -15.2752753    -0.12514743    -0.62803910
  -15.2352352    -0.07849305    -0.51343748
  -15.1951952    -0.07895570    -0.32079626
  -15.1551552    -0.11480419    -0.16818718
  -15.1151151    -0.16054973    -0.09143403
  -15.0750751    -0.17058476    -0.07189042
  -15.0350350    -0.11626031    -0.08840833
  -14.9949950    -0.01540389    -0.11636180
  -14.9549550     0.08303808    -0.12282549
  -14.9149149     0.13278200    -0.09410950
  -14.8748749     0.11706534    -0.05042459
  -14.8348348     0.05706749    -0.01835141
  -14.7947948    -0.00807832    -0.00486151
  -14.7547548    -0.04881245    -0.00383424
  -14.7147147    -0.05643660    -0.01168860
  -14.6746747    -0.04120076    -0.02950763
  -14.6346346    -0.02114471    -0.05398155
  -14.5945946    -0.00760113    -0.07162295
  -14.5545546    -0.00051237    -0.06895081
  -14.5145145     0.00745888    -0.04809283
  -14.4744745     0.02838384    -0.02369731
  -14.4344344     0.07565449    -0.00452021
  -14.3943944     0.15133663     0.01745802
  -14.3543544     0.23875204     0.06382527
  -14.3143143     0.32167158     0.15222305
  -14.2742743     0.39625012     0.26644907
  -14.2342342     0.43947025     0.35097708
  -14.1941942     0.40489703     0.35991002
  -14.1541542     0.28861706     0.30078744
  -14.1141141     0.15285707     0.21251317
  -14.0740741     0.05766694     0.12671006
  -14.0340340     0.01118836     0.06133068
  -13.9939940    -0.00798762     0.02290809
  -13.9539540    -0.01581135     0.00580333
  -13.9139139    -0.01636979    -0.00112735
  -13.8738739    -0.01292225    -0.00612939
  -13.8338338    -0.01635933    -0.01161927
  -13.7937938    -0.04135949    -0.01483037
  -13.7537538    -0.08739781    -0.00977931
  -13.7137137    -0.11658528     0.01226463
  -13.6736737    -0.06629972     0.06277960
  -13.6336336     0.08432048     0.14220771
  -13.5935936     0.25665738     0.21350643
  -13.5535536     0.31748924     0.21334144
  -13.5135135     0.21116250     0.12445409
  -13.4734735     0.02495030     0.01499867
  -13.4334334    -0.10790099    -0.03610393
  -13.3933934    -0.14074545    -0.03089786
  -13.3533534    -0.11867085    -0.03298065
  -13.3133133    -0.09308144    -0.08150204
  -13.2732733    -0.07569393    -0.15443919
  -13.2332332    -0.05745845    -0.20024610
  -13.1931932    -0.03580143    -0.18952667
  -13.1531532    -0.01707874    -0.13865692
  -13.1131131    -0.00578532    -0.08567975
  -13.0730731     0.00015563    -0.05423858
  -13.0330330     0.00683433    -0.04648567
  -12.9929930     0.02138935    -0.05279405
  -12.9529530     0.04804903    -0.05790386
  -12.9129129     0.08195688    -0.04995344
  -12.8728729     0.10862558    -0.02921984
  -12.8328328     0.11395053    -0.00179798
  -12.7927928     0.09562297     0.03176532
  -12.7527528     0.06533874     0.07176766
  -12.7127127     0.03965700     0.10615890
  -12.6726727     0.02697374     0.11630609
  -12.6326326     0.02548360     0.10201808
  -12.5925926     0.03379248     0.08863254
  -12.5525526     0.05365963     0.09727772
  -12.5125125     0.07636548     0.11594364
  -12.4724725     0.08058628     0.11473709
  -12.4324324     0.05648683     0.08459452
  -12.3923924     0.01882760     0.04375332
  -12.3523524    -0.01287987     0.01053799
  -12.3123123    -0.03273448    -0.01192337
  -12.2722723    -0.04252005    -0.02519071
  -12.2322322    -0.04205827    -0.02444260
  -12.1921922    -0.02947545    -0.00249268
  -12.1521522    -0.00083843     0.04137531
  -12.1121121     0.04878434     0.09882931
  -12.0720721     0.10730901     0.14937699
  -12.0320320     0.13017880     0.15590991
  -11.9919920     0.07597912     0.08560176
  -11.9519520    -0.03023734    -0.04371331
  -11.9119119    -0.10867274    -0.15817718
  -11.8718719    -0.11408378    -0.19395174
  -11.8318318    -0.07478396    -0.15567622
  -11.7917918    -0.04129269    -0.09647079
  -11.7517518    -0.03488368    -0.05964095
  -11.7117117    -0.04613327    -0.05449658
  -11.6716717    -0.05677347    -0.06838371
  -11.6316316    -0.05873012    -0.08171153
  -11.5915916    -0.05983534    -0.08149158
  -11.5515516    -0.07427890    -0.07269170
  -11.5115115    -0.11109924    -0.07186658
  -11.4714715    -0.16827389    -0.08797269
  -11.4314314    -0.22701814    -0.11454122
  -11.3913914    -0.25510375    -0.14121108
  -11.3513514    -0.22991781    -0.16554401
  -11.3113113    -0.16119113    -0.18434322
  -11.2712713    -0.08512927    -0.18308053
  -11.2312312    -0.03477591    -0.15239627
  -11.1911912    -0.01864607    -0.10703003
  -11.1511512    -0.02550460    -0.07479334
