# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 200
# Emin, Emax in file for selected band(s):   -110.8638280    243.8532240
# Nbands, Nspin, Nk   =    200     2    20
# E_F                 =    -7.2616 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
   -111.163828      0.000000      0.000000      0.000000
   -109.378315      0.000000      0.000000      0.000000
   -107.592802      0.000000      0.000000      0.000000
   -105.807290      0.000000      0.000000      0.000000
   -104.021777      0.000000      0.000000      0.000000
   -102.236264      0.000000      0.000000      0.000000
   -100.450751      0.000000      0.000000      0.000000
    -98.665238      0.000000      0.000000      0.000000
    -96.879725      0.000000      0.000000      0.000000
    -95.094213      0.000000      0.000000      0.000000
    -93.308700      0.000000      0.000000      0.000000
    -91.523187      0.000000      0.000000      0.000000
    -89.737674      0.000000      0.000000      0.000000
    -87.952161      0.000000      0.000000      0.000000
    -86.166648      0.000000      0.000000      0.000000
    -84.381136      0.000000      0.000000      0.000000
    -82.595623      0.000000      0.000000      0.000000
    -80.810110      0.000000      0.000000      0.000000
    -79.024597      0.546361     11.010026     11.556388
    -77.239084      0.000000      0.000000      0.000000
    -75.453572      0.000000      0.000000      0.000000
    -73.668059      0.000000      0.000000      0.000000
    -71.882546      0.000000      0.000000      0.000000
    -70.097033      0.000000      0.000000      0.000000
    -68.311520      0.000000      0.000000      0.000000
    -66.526007      0.000000      0.000000      0.000000
    -64.740495      0.000000      0.000000      0.000000
    -62.954982      0.000000      0.000000      0.000000
    -61.169469      0.000000      0.000000      0.000000
    -59.383956      0.000000      0.000000      0.000000
    -57.598443      0.000000      0.000000      0.000000
    -55.812930      0.000000      0.000000      0.000000
    -54.027418      0.000000      0.000000      0.000000
    -52.241905      0.000000      0.000000      0.000000
    -50.456392      0.000000      0.000000      0.000000
    -48.670879      0.000017      0.000000      0.000017
    -46.885366      0.000000      0.000000      0.000000
    -45.099854      0.000000      0.000000      0.000000
    -43.314341      0.000000      0.000000      0.000000
    -41.528828      0.000000      0.000000      0.000000
    -39.743315      0.000000      0.000000      0.000000
    -37.957802      0.000000      0.000000      0.000000
    -36.172289      0.000000      0.000000      0.000000
    -34.386777      0.000000      0.000000      0.000000
    -32.601264      0.000000      0.000000      0.000000
    -30.815751      0.000000      0.000000      0.000000
    -29.030238      0.000000      0.000000      0.000000
    -27.244725      0.000000      0.000000      0.000000
    -25.459212      0.000000      0.000000      0.000000
    -23.673700      0.000000      0.000000      0.000000
    -21.888187      0.000000      0.000000      0.000000
