#
#   partial DOS for atom species: Mn
#
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   6,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   7,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   8,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =   9,  n,l,m,z=  4  0  0  3
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  1
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  2
#   Add data for atom_index =  10,  n,l,m,z=  4  0  0  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000     0.00000000
  -18.9589590     0.00000000     0.00000000
  -18.9189189     0.00000000     0.00000000
  -18.8788789     0.00000000     0.00000000
  -18.8388388     0.00000000     0.00000000
  -18.7987988     0.00000000     0.00000000
  -18.7587588     0.00000000     0.00000000
  -18.7187187     0.00000000     0.00000000
  -18.6786787     0.00000000     0.00000000
  -18.6386386     0.00000000     0.00000000
  -18.5985986     0.00000000     0.00000000
  -18.5585586     0.00000000     0.00000000
  -18.5185185     0.00000001     0.00000000
  -18.4784785     0.00000016     0.00000010
  -18.4384384     0.00000257     0.00000163
  -18.3983984     0.00002974     0.00001993
  -18.3583584     0.00024925     0.00017691
  -18.3183183     0.00151619     0.00113973
  -18.2782783     0.00669317     0.00532859
  -18.2382382     0.02144223     0.01807896
  -18.1981982     0.04985047     0.04451295
  -18.1581582     0.08410649     0.07953369
  -18.1181181     0.10297949     0.10312591
  -18.0780781     0.09150251     0.09703677
  -18.0380380     0.05900330     0.06626081
  -17.9979980     0.02761091     0.03283439
  -17.9579580     0.00937662     0.01180737
  -17.9179179     0.00231086     0.00308127
  -17.8778779     0.00041331     0.00058353
  -17.8378378     0.00005388     0.00008032
  -17.7977978     0.00000883     0.00001020
  -17.7577578     0.00004385     0.00002761
  -17.7177177     0.00036536     0.00024146
  -17.6776777     0.00224509     0.00157604
  -17.6376376     0.01015267     0.00755644
  -17.5975976     0.03407426     0.02681817
  -17.5575576     0.08590119     0.07127156
  -17.5175175     0.16510718     0.14400043
  -17.4774775     0.24552963     0.22483357
  -17.4374374     0.28512453     0.27459792
  -17.3973974     0.25843196     0.26298472
  -17.3573574     0.18100920     0.19580966
  -17.3173173     0.09652164     0.11162168
  -17.2772773     0.03861241     0.04793644
  -17.2372372     0.01145303     0.01530575
  -17.1971972     0.00249833     0.00359973
  -17.1571572     0.00039906     0.00062005
  -17.1171171     0.00005262     0.00008098
  -17.0770771     0.00007475     0.00004562
  -17.0370370     0.00058426     0.00034609
  -16.9969970     0.00349532     0.00225189
  -16.9569570     0.01518160     0.01064800
  -16.9169169     0.04785493     0.03654010
  -16.8768769     0.10947450     0.09100138
  -16.8368368     0.18175081     0.16447607
  -16.7967968     0.21898628     0.21574166
  -16.7567568     0.19148494     0.20537229
  -16.7167167     0.12151490     0.14188167
  -16.6766767     0.05596309     0.07113566
  -16.6366366     0.01870471     0.02588362
  -16.5965966     0.00453709     0.00683502
  -16.5565566     0.00079870     0.00130988
  -16.5165165     0.00010204     0.00018218
  -16.4764765     0.00000946     0.00001839
  -16.4364364     0.00000064     0.00000135
  -16.3963964     0.00000003     0.00000007
  -16.3563564     0.00000000     0.00000000
  -16.3163163     0.00000005     0.00000001
  -16.2762763     0.00000066     0.00000011
  -16.2362362     0.00000657     0.00000127
  -16.1961962     0.00004731     0.00001058
  -16.1561562     0.00024717     0.00006399
  -16.1161161     0.00093711     0.00028081
  -16.0760761     0.00257830     0.00089427
  -16.0360360     0.00514788     0.00206670
  -15.9959960     0.00745890     0.00346606
  -15.9559560     0.00784298     0.00421859
  -15.9159159     0.00598683     0.00372955
  -15.8758759     0.00334175     0.00242941
  -15.8358358     0.00156918     0.00142700
  -15.7957958     0.00186500     0.00213123
  -15.7557558     0.00682104     0.00724872
  -15.7157157     0.02268378     0.02160982
  -15.6756757     0.05647202     0.04887527
  -15.6356356     0.10445881     0.08434960
  -15.5955956     0.14329567     0.11249590
  -15.5555556     0.14409231     0.11555702
  -15.5155155     0.10288566     0.08825304
  -15.4754755     0.04941977     0.04720086
  -15.4354354     0.01985163     0.02123554
  -15.3953954     0.02682578     0.02420860
  -15.3553554     0.05556861     0.04131694
  -15.3153153     0.07894567     0.04848324
  -15.2752753     0.07867804     0.03902429
  -15.2352352     0.06089591     0.02583183
  -15.1951952     0.04912801     0.02520412
  -15.1551552     0.06014771     0.04480784
  -15.1151151     0.08925237     0.07940035
  -15.0750751     0.11963832     0.11423795
  -15.0350350     0.14403435     0.14187148
  -14.9949950     0.16920347     0.17266652
  -14.9549550     0.19967875     0.21501945
  -14.9149149     0.23007868     0.25360236
  -14.8748749     0.24912280     0.26272304
  -14.8348348     0.24284080     0.23421626
  -14.7947948     0.20612178     0.18366200
  -14.7547548     0.15431281     0.13659866
  -14.7147147     0.11589515     0.11373110
  -14.6746747     0.11267309     0.11847651
  -14.6346346     0.13995341     0.13097155
  -14.5945946     0.16503446     0.12515546
  -14.5545546     0.15802075     0.09633509
  -14.5145145     0.12349042     0.06405906
  -14.4744745     0.09336549     0.05307422
  -14.4344344     0.09508113     0.07783008
  -14.3943944     0.13000212     0.13234399
  -14.3543544     0.17439922     0.18635669
  -14.3143143     0.19845318     0.20470128
  -14.2742743     0.18818722     0.18018948
  -14.2342342     0.15763355     0.14217874
  -14.1941942     0.14371966     0.13052885
  -14.1541542     0.17439609     0.15837832
  -14.1141141     0.23093563     0.19707307
  -14.0740741     0.25784505     0.20803862
  -14.0340340     0.22394614     0.18969924
  -13.9939940     0.15949085     0.17346732
  -13.9539540     0.12209902     0.17732610
  -13.9139139     0.13553097     0.18505184
  -13.8738739     0.16746436     0.17158366
  -13.8338338     0.16958555     0.13871073
  -13.7937938     0.13679065     0.11700084
  -13.7537538     0.11281712     0.12912107
  -13.7137137     0.13813693     0.16335880
  -13.6736737     0.20293981     0.19009426
  -13.6336336     0.25115464     0.18994106
  -13.5935936     0.23492051     0.15984514
  -13.5535536     0.16473952     0.10984283
  -13.5135135     0.09399191     0.06060608
  -13.4734735     0.06328704     0.03232546
  -13.4334334     0.07382936     0.03462010
  -13.3933934     0.09985742     0.06589162
  -13.3533534     0.11283035     0.11005160
  -13.3133133     0.10060450     0.13702884
  -13.2732733     0.07094397     0.12623123
  -13.2332332     0.04014669     0.09102754
  -13.1931932     0.02124469     0.06631740
  -13.1531532     0.02158770     0.07313712
  -13.1131131     0.04583575     0.10150677
  -13.0730731     0.09333887     0.12584999
  -13.0330330     0.15104336     0.13558795
  -12.9929930     0.19793533     0.14305535
  -12.9529530     0.22029561     0.15863017
  -12.9129129     0.21892657     0.17564623
  -12.8728729     0.20667989     0.18336416
  -12.8328328     0.19967947     0.17689947
  -12.7927928     0.19974479     0.15727693
  -12.7527528     0.18950086     0.13429576
  -12.7127127     0.15638315     0.12132252
  -12.6726727     0.11436197     0.12360321
  -12.6326326     0.09289272     0.14044117
  -12.5925926     0.10854231     0.16977547
  -12.5525526     0.14939043     0.19807773
  -12.5125125     0.18548587     0.20543157
  -12.4724725     0.19781461     0.19601924
  -12.4324324     0.19520407     0.19639272
  -12.3923924     0.19687294     0.21179218
  -12.3523524     0.20605922     0.21673554
  -12.3123123     0.21057445     0.19512834
  -12.2722723     0.19934849     0.15785872
  -12.2322322     0.17025962     0.12095243
  -12.1921922     0.13396577     0.09431151
  -12.1521522     0.11103392     0.08745962
  -12.1121121     0.11042296     0.10258145
  -12.0720721     0.11541679     0.12445383
  -12.0320320     0.10413541     0.13282913
  -11.9919920     0.07562388     0.12290225
  -11.9519520     0.04536569     0.10634628
  -11.9119119     0.02572598     0.09560923
  -11.8718719     0.01899376     0.09057644
  -11.8318318     0.02204102     0.08040571
  -11.7917918     0.03170637     0.05741222
  -11.7517518     0.04400591     0.02517163
  -11.7117117     0.05086656    -0.00567249
  -11.6716717     0.04667513    -0.02333194
  -11.6316316     0.03701386    -0.01977857
  -11.5915916     0.03164511     0.00268542
  -11.5515516     0.03142779     0.03040980
  -11.5115115     0.02786215     0.04734178
  -11.4714715     0.01250054     0.04560923
  -11.4314314    -0.01445542     0.02845567
  -11.3913914    -0.04254042     0.00437890
  -11.3513514    -0.05924888    -0.02051282
  -11.3113113    -0.06155064    -0.04504764
  -11.2712713    -0.05749211    -0.07030633
  -11.2312312    -0.05550131    -0.09349591
  -11.1911912    -0.05516882    -0.10435429
  -11.1511512    -0.05062698    -0.09353653
  -11.1111111    -0.03942129    -0.06582416
  -11.0710711    -0.02454890    -0.03782193
  -11.0310310    -0.01044503    -0.02105088
  -10.9909910    -0.00028317    -0.01330973
  -10.9509510     0.00432672    -0.00697419
  -10.9109109     0.00348657     0.00070962
  -10.8708709    -0.00073283     0.00774093
  -10.8308308    -0.00478644     0.01254747
  -10.7907908    -0.00545044     0.01527843
  -10.7507508    -0.00178946     0.01606721
  -10.7107107     0.00457504     0.01433869
  -10.6706707     0.01099925     0.00991611
  -10.6306306     0.01579868     0.00463725
  -10.5905906     0.01891008     0.00164544
  -10.5505506     0.02071932     0.00238732
  -10.5105105     0.02136237     0.00560997
  -10.4704705     0.02141965     0.00945537
  -10.4304304     0.02151066     0.01304107
  -10.3903904     0.02135766     0.01576099
  -10.3503504     0.02101521     0.01683907
  -10.3103103     0.02166646     0.01651819
  -10.2702703     0.02341848     0.01609434
  -10.2302302     0.02389008     0.01612606
