#
#   partial DOS for atom species: Ga
#
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  1
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  2
#   Add data for atom_index =   1,  n,l,m,z=  4  1 -1  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  0  3
#   Add data for atom_index =   1,  n,l,m,z=  4  1  1  3
#
#    Energy          spin 1        spin2
#
  -20.0000000     0.00000000     0.00000000
  -19.9599600     0.00000000     0.00000000
  -19.9199199     0.00000000     0.00000000
  -19.8798799     0.00000000     0.00000000
  -19.8398398     0.00000000     0.00000000
  -19.7997998     0.00000000     0.00000000
  -19.7597598     0.00000000     0.00000000
  -19.7197197     0.00000000     0.00000000
  -19.6796797     0.00000000     0.00000000
  -19.6396396     0.00000000     0.00000000
  -19.5995996     0.00000000     0.00000000
  -19.5595596     0.00000000     0.00000000
  -19.5195195     0.00000000     0.00000000
  -19.4794795     0.00000000     0.00000000
  -19.4394394     0.00000000     0.00000000
  -19.3993994     0.00000000     0.00000000
  -19.3593594     0.00000000     0.00000000
  -19.3193193     0.00000000     0.00000000
  -19.2792793     0.00000000     0.00000000
  -19.2392392     0.00000000     0.00000000
  -19.1991992     0.00000000     0.00000000
  -19.1591592     0.00000000     0.00000000
  -19.1191191     0.00000000     0.00000000
  -19.0790791     0.00000000     0.00000000
  -19.0390390     0.00000000     0.00000000
  -18.9989990     0.00000000    -0.00000000
  -18.9589590     0.00000000    -0.00000000
  -18.9189189     0.00000000    -0.00000000
  -18.8788789     0.00000000    -0.00000000
  -18.8388388     0.00000000    -0.00000000
  -18.7987988     0.00000000    -0.00000000
  -18.7587588     0.00000000    -0.00000000
  -18.7187187     0.00000000    -0.00000000
  -18.6786787     0.00000000    -0.00000000
  -18.6386386     0.00000000    -0.00000000
  -18.5985986     0.00000000    -0.00000000
  -18.5585586     0.00000000    -0.00000000
  -18.5185185     0.00000000    -0.00000000
  -18.4784785     0.00000000    -0.00000000
  -18.4384384     0.00000000    -0.00000000
  -18.3983984    -0.00000001    -0.00000000
  -18.3583584    -0.00000026    -0.00000000
  -18.3183183    -0.00000474    -0.00000007
  -18.2782783    -0.00006346    -0.00000134
  -18.2382382    -0.00061706    -0.00001987
  -18.1981982    -0.00435438    -0.00021453
  -18.1581582    -0.02229836    -0.00168040
  -18.1181181    -0.08286418    -0.00955189
  -18.0780781    -0.22346429    -0.03940155
  -18.0380380    -0.43731744    -0.11794643
  -17.9979980    -0.62105901    -0.25621446
  -17.9579580    -0.64005359    -0.40389632
  -17.9179179    -0.47868212    -0.46204424
  -17.8778779    -0.25979182    -0.38356999
  -17.8378378    -0.10231779    -0.23107506
  -17.7977978    -0.02924315    -0.10102037
  -17.7577578    -0.00606520    -0.03204883
  -17.7177177    -0.00091311    -0.00737841
  -17.6776777    -0.00010365    -0.00123276
  -17.6376376    -0.00005678    -0.00015043
  -17.5975976    -0.00044026    -0.00002714
  -17.5575576    -0.00287212    -0.00014588
  -17.5175175    -0.01361077    -0.00109147
  -17.4774775    -0.04680720    -0.00595993
  -17.4374374    -0.11681271    -0.02361755
  -17.3973974    -0.21155092    -0.06791658
  -17.3573574    -0.27802711    -0.14173077
  -17.3173173    -0.26515924    -0.21463467
  -17.2772773    -0.18351594    -0.23587560
  -17.2372372    -0.09216971    -0.18811073
  -17.1971972    -0.03359310    -0.10886581
  -17.1571572    -0.00888504    -0.04572112
  -17.1171171    -0.00170536    -0.01393444
  -17.0770771    -0.00023753    -0.00308184
  -17.0370370    -0.00002401    -0.00049463
  -16.9969970    -0.00000176    -0.00005761
  -16.9569570    -0.00000009    -0.00000487
  -16.9169169    -0.00000000    -0.00000030
  -16.8768769     0.00000000    -0.00000001
  -16.8368368     0.00000000     0.00000000
  -16.7967968     0.00000000     0.00000000
  -16.7567568     0.00000000     0.00000000
  -16.7167167     0.00000000     0.00000000
  -16.6766767     0.00000000     0.00000000
  -16.6366366     0.00000000     0.00000000
  -16.5965966     0.00000000     0.00000000
  -16.5565566     0.00000000     0.00000000
  -16.5165165     0.00000000     0.00000000
  -16.4764765    -0.00000000     0.00000000
  -16.4364364    -0.00000011     0.00000000
  -16.3963964    -0.00000200    -0.00000000
  -16.3563564    -0.00002663    -0.00000010
  -16.3163163    -0.00025710    -0.00000190
  -16.2762763    -0.00180096    -0.00002507
  -16.2362362    -0.00915502    -0.00024068
  -16.1961962    -0.03377242    -0.00167654
  -16.1561562    -0.09040920    -0.00847488
  -16.1161161    -0.17563473    -0.03108863
  -16.0760761    -0.24760282    -0.08275933
  -16.0360360    -0.25330757    -0.15987469
  -15.9959960    -0.18805642    -0.22412478
  -15.9559560    -0.10131542    -0.22800660
  -15.9159159    -0.03961050    -0.16832645
  -15.8758759    -0.01123808    -0.09017885
  -15.8358358    -0.00231361    -0.03505940
  -15.7957958    -0.00034281    -0.00989126
  -15.7557558    -0.00000207    -0.00202504
  -15.7157157     0.00031167    -0.00029969
  -15.6756757     0.00202818    -0.00001603
  -15.6356356     0.00948943     0.00016171
  -15.5955956     0.03221713     0.00119289
  -15.5555556     0.07937440     0.00628854
  -15.5155155     0.14191276     0.02405441
  -15.4754755     0.18412375     0.06677077
  -15.4354354     0.17335856     0.13450098
  -15.3953954     0.11844626     0.19661283
  -15.3553554     0.05870592     0.20856614
  -15.3153153     0.02092591     0.16054356
  -15.2752753     0.00423529     0.08957678
  -15.2352352    -0.00475038     0.03559637
  -15.1951952    -0.01886449     0.00703263
  -15.1551552    -0.04522437    -0.01046409
  -15.1151151    -0.07813037    -0.03182959
  -15.0750751    -0.09792380    -0.05892300
  -15.0350350    -0.08906328    -0.07838873
  -14.9949950    -0.05878352    -0.07563296
  -14.9549550    -0.02815424    -0.05295331
  -14.9149149    -0.00977694    -0.02689764
  -14.8748749    -0.00241408    -0.00987770
  -14.8348348    -0.00022047    -0.00248227
  -14.7947948     0.00065514    -0.00001005
  -14.7547548     0.00159854     0.00100451
  -14.7147147     0.00261129     0.00165869
  -14.6746747     0.00308412     0.00186962
  -14.6346346     0.00262645     0.00152261
  -14.5945946     0.00145463     0.00088926
  -14.5545546    -0.00067046     0.00026988
  -14.5145145    -0.00734590    -0.00075192
  -14.4744745    -0.02951400    -0.00471442
  -14.4344344    -0.08360856    -0.01870190
  -14.3943944    -0.17158156    -0.05355471
  -14.3543544    -0.25550074    -0.11126586
  -14.3143143    -0.27609487    -0.16775280
  -14.2742743    -0.21650719    -0.18353782
  -14.2342342    -0.12320815    -0.14572563
  -14.1941942    -0.05088364    -0.08397755
  -14.1541542    -0.01520675    -0.03517311
  -14.1141141    -0.00282612    -0.01085078
  -14.0740741     0.00226431    -0.00276958
  -14.0340340     0.01060869    -0.00102292
  -13.9939940     0.03079633    -0.00069502
  -13.9539540     0.07204020    -0.00005018
  -13.9139139     0.14090217     0.00221412
  -13.8738739     0.22666990     0.00868593
  -13.8338338     0.28634535     0.02334862
  -13.7937938     0.26717411     0.05059058
  -13.7537538     0.15983667     0.09553675
  -13.7137137     0.01118201     0.16001163
  -13.6736737    -0.11394593     0.22511381
  -13.6336336    -0.16652250     0.24711570
  -13.5935936    -0.13312323     0.20059385
  -13.5535536    -0.04456127     0.11626834
  -13.5135135     0.04505204     0.04676631
  -13.4734735     0.09377967     0.01353301
  -13.4334334     0.09310161     0.00792725
  -13.3933934     0.06483492     0.02078481
  -13.3533534     0.03631515     0.05103126
  -13.3133133     0.01877977     0.09123979
  -13.2732733     0.00959810     0.11847591
  -13.2332332     0.00451230     0.11249941
  -13.1931932     0.00212607     0.08058386
  -13.1531532     0.00327890     0.04965770
  -13.1131131     0.01272850     0.03593127
  -13.0730731     0.04126494     0.03355285
  -13.0330330     0.09767715     0.02916047
  -12.9929930     0.16771336     0.01776361
  -12.9529530     0.20955177     0.00425068
  -12.9129129     0.19436749    -0.00268576
  -12.8728729     0.14604745     0.00761066
  -12.8328328     0.11346884     0.04724090
  -12.7927928     0.11099060     0.11816099
  -12.7527528     0.11151821     0.19439843
  -12.7127127     0.09160014     0.23329884
  -12.6726727     0.05943435     0.22430501
  -12.6326326     0.03702028     0.20671168
  -12.5925926     0.03445499     0.21522230
  -12.5525526     0.04887231     0.23065667
  -12.5125125     0.07833128     0.20895049
  -12.4724725     0.13212747     0.14158463
  -12.4324324     0.22473270     0.06388333
  -12.3923924     0.34295531     0.01215556
  -12.3523524     0.42188583    -0.00648367
  -12.3123123     0.39848889    -0.00408611
  -12.2722723     0.29580594     0.01347339
  -12.2322322     0.20145057     0.06107464
  -12.1921922     0.16367963     0.16515141
  -12.1521522     0.15643988     0.32434658
  -12.1121121     0.13803068     0.47563186
  -12.0720721     0.10080677     0.53405217
  -12.0320320     0.06128149     0.47852868
  -11.9919920     0.03350405     0.36271579
  -11.9519520     0.02406447     0.24675539
  -11.9119119     0.03728250     0.16043874
  -11.8718719     0.07148795     0.11476928
  -11.8318318     0.10994325     0.10456589
  -11.7917918     0.12664281     0.10514102
  -11.7517518     0.11219378     0.09175234
  -11.7117117     0.08731291     0.06287246
  -11.6716717     0.07981027     0.03502501
  -11.6316316     0.09387359     0.01993277
  -11.5915916     0.10861932     0.01571544
  -11.5515516     0.10239255     0.01570631
  -11.5115115     0.07407505     0.01667792
  -11.4714715     0.04079546     0.01826942
  -11.4314314     0.01958549     0.02112765
  -11.3913914     0.01852880     0.02945285
  -11.3513514     0.04428306     0.05002037
  -11.3113113     0.10434936     0.08066328
  -11.2712713     0.18868950     0.10422090
  -11.2312312     0.25697922     0.10714981
  -11.1911912     0.27238140     0.09953989
  -11.1511512     0.25130078     0.10233117
  -11.1111111     0.24657028     0.12097795
  -11.0710711     0.27496772     0.14095637
  -11.0310310     0.29383088     0.14346402
  -10.9909910     0.26052588     0.12336835
  -10.9509510     0.18962366     0.09394921
  -10.9109109     0.13509948     0.07222355
  -10.8708709     0.13381221     0.06306415
  -10.8308308     0.17847006     0.06230399
  -10.7907908     0.22825157     0.06730320
  -10.7507508     0.23858493     0.07650519
  -10.7107107     0.19800434     0.08703885
  -10.6706707     0.14143011     0.10031227
  -10.6306306     0.11760713     0.12137444
  -10.5905906     0.14330953     0.14657665
  -10.5505506     0.19134787     0.16225799
  -10.5105105     0.21882797     0.16338776
  -10.4704705     0.20456922     0.16220601
  -10.4304304     0.15929711     0.17240384
  -10.3903904     0.10840279     0.19981638
  -10.3503504     0.07746645     0.25032656
  -10.3103103     0.08847449     0.32042306
  -10.2702703     0.14890116     0.37375108
  -10.2302302     0.23322401     0.36203488
  -10.1901902     0.28832696     0.28173377
  -10.1501502     0.27764160     0.18254669
